u,E_L,E_H,w_L,w_H,E_agg
0.05,6.873409716378971,7.107566163715775,0.9046505351008906,0.09534946489910949,6.895736408335212
0.05452261306532664,6.85336578392172,7.087522231258524,0.9026820500457782,0.09731794995422188,6.876153409345101
0.05904522613065327,6.8333218514644685,7.067478298801273,0.9006773875452674,0.09932261245473258,6.856578881537079
0.0635678391959799,6.813277919007217,7.047434366344022,0.8986360678069489,0.10136393219305105,6.83701293725763
0.06809045226130653,6.793233986549966,7.0273904338867705,0.89655761241837,0.10344238758163006,6.817455688530117
0.07261306532663317,6.773190054092715,7.007346501429519,0.8944415447368418,0.10555845526315825,6.797907246963497
0.0771356783919598,6.7531461216354645,6.987302568972269,0.8922873902935974,0.10771260970640266,6.778367723657692
0.08165829145728642,6.733102189178213,6.967258636515018,0.8900946772123808,0.10990532278761928,6.758837229105567
0.08618090452261307,6.713058256720962,6.9472147040577665,0.8878629366425285,0.11213706335747149,6.739315873091529
0.09070351758793971,6.693014324263711,6.927170771600515,0.8855917032065751,0.11440829679342494,6.719803764586714
0.09522613065326634,6.67297039180646,6.907126839143264,0.8832805154623862,0.11671948453761379,6.700301011640771
0.09974874371859296,6.652926459349208,6.887082906686013,0.8809289163797959,0.1190710836202041,6.680807721270259
0.1042713567839196,6.632882526891958,6.8670389742287625,0.8785364538316887,0.12146354616831133,6.66132399934366
0.10879396984924623,6.612838594434707,6.846995041771511,0.8761026810994382,0.1238973189005618,6.641849950463017
0.11331658291457286,6.592794661977456,6.82695110931426,0.873627157392576,0.12637284260742399,6.622385677842264
0.1178391959798995,6.572750729520204,6.806907176857009,0.8711094483825284,0.1288905516174716,6.602931283182232
0.12236180904522613,6.552706797062953,6.786863244399758,0.8685491267502203,0.1314508732497796,6.583486866542441
0.12688442211055276,6.532662864605703,6.766819311942507,0.8659457727473057,0.1340542272526944,6.564052526209674
0.1314070351758794,6.512618932148452,6.746775379485256,0.8632989747707381,0.1367010252292619,6.544628358563435
0.135929648241206,6.4925749996912,6.726731447028005,0.8606083299503592,0.1393916700496408,6.525214457938368
0.14045226130653266,6.472531067233949,6.706687514570754,0.8578734447491257,0.14212655525087428,6.5058109164837115
0.1449748743718593,6.452487134776698,6.686643582113502,0.8550939355755596,0.1449060644244404,6.486417824019883
0.14949748743718594,6.432443202319447,6.666599649656251,0.8522694294079501,0.14773057059204983,6.46703526789232
0.15402010050251258,6.412399269862196,6.646555717199001,0.8493995644297894,0.1506004355702107,6.447663332822692
0.1585427135678392,6.392355337404945,6.62651178474175,0.8464839906758692,0.1535160093241308,6.428302100757607
0.1630653266331658,6.372311404947694,6.606467852284498,0.8435223706884186,0.1564776293115814,6.40895165071498
0.16758793969849245,6.352267472490443,6.586423919827247,0.8405143801825995,0.1594856198174005,6.3896120586281935
0.1721105527638191,6.332223540033191,6.566379987369996,0.837459708720632,0.162540291279368,6.370283397188258
0.17663316582914573,6.31217960757594,6.546336054912745,0.8343580603937569,0.1656419396062431,6.350965735684116
0.18115577889447237,6.29213567511869,6.526292122455494,0.8312091545111912,0.16879084548880882,6.3316591398413244
0.18567839195979902,6.272091742661439,6.506248189998243,0.8280127262951718,0.1719872737048283,6.312363671659304
0.1902010050251256,6.252047810204187,6.486204257540992,0.8247685275811264,0.17523147241887357,6.293079389247389
0.19472361809045224,6.232003877746936,6.466160325083741,0.8214763275219527,0.17852367247804735,6.2738063466599145
0.19924623115577889,6.211959945289685,6.4461163926264895,0.8181359132953251,0.18186408670467488,6.2545445937306035
0.20376884422110553,6.191916012832435,6.426072460169239,0.8147470908128969,0.1852529091871031,6.235294175906494
0.20829145728643217,6.171872080375183,6.406028527711988,0.8113096854302004,0.1886903145697995,6.216055134081712
0.2128140703517588,6.151828147917932,6.385984595254737,0.8078235426559972,0.19217645734400285,6.196827504431377
0.2173366834170854,6.131784215460681,6.3659406627974855,0.8042885288597692,0.19571147114023082,6.177611318245937
0.22185929648241204,6.11174028300343,6.345896730340234,0.800704531975992,0.199295468024008,6.1584066017662575
0.22638190954773868,6.091696350546179,6.325852797882984,0.7970714622037725,0.20292853779622755,6.139213376019796
0.23090452261306532,6.071652418088928,6.305808865425733,0.7933892527003855,0.20661074729961448,6.120031656658208
0.23542713567839196,6.051608485631677,6.2857649329684815,0.7896578602671935,0.21034213973280652,6.100861453796734
0.2399497487437186,6.031564553174426,6.26572100051123,0.7858772660263846,0.2141227339736153,6.081702771855731
0.24447236180904525,6.0115206207171745,6.245677068053979,0.7820474760869233,0.21795252391307673,6.06255560940475
0.24899497487437183,5.991476688259924,6.225633135596729,0.7781685221980609,0.22183147780193915,6.0434199590094995
0.2535175879396985,5.971432755802673,6.2055892031394775,0.7742404623887224,0.22575953761127762,6.0242958070821295
0.2580402010050251,5.951388823345422,6.185545270682226,0.7702633815910452,0.22973661840895476,6.005183133735234
0.26256281407035176,5.9313448908881705,6.165501338224975,0.7662373922463175,0.23376260775368246,5.98608191263996
0.2670854271356784,5.911300958430919,6.145457405767724,0.7621626348915392,0.23783736510846074,5.966992110888663
0.27160804020100504,5.891257025973668,6.125413473310473,0.7580392787248051,0.2419607212751948,5.947913688862519
0.2761306532663316,5.871213093516418,6.105369540853222,0.7538675221476943,0.24613247785230574,5.928846600104519
