u,E_Low,E_LowerMid,E_UpperMid,E_High,w_Low,w_LowerMid,w_UpperMid,w_High,E_agg
0.1,6.293752655392536,9.374139907325047,9.656845618790303,7.41429633806111,0.6909602998799332,0.21344226470469896,0.09044102386924423,0.0051564115461234595,7.261177041972887
0.10267558528428095,6.272314424761918,9.35797712450622,9.646754685552844,7.416574153860773,0.6869019153547999,0.21563088822959633,0.09213086060998142,0.005336335805622333,7.254674852951676
0.10535117056856189,6.250876194131299,9.341814341687396,9.636663752315386,7.418851969660436,0.6828099225450006,0.21782362807561528,0.09384437573828357,0.0055220736411004945,7.2483423236130164
0.10802675585284281,6.22943796350068,9.32565155886857,9.626572819077929,7.421129785460098,0.6786846124276777,0.22001996220115774,0.09558163477834226,0.005713790592822321,7.242179542300651
0.11070234113712375,6.207999732870062,9.309488776049745,9.61648188584047,7.423407601259761,0.6745262936823702,0.22221935661432296,0.09734269380270373,0.005911655900603227,7.236186540237208
0.11337792642140469,6.186561502239442,9.29332599323092,9.606390952603011,7.425685417059424,0.6703352928333289,0.2244212654827437,0.09912759914107497,0.006115842542852333,7.230363290505205
0.11605351170568562,6.165123271608824,9.277163210412095,9.596300019365554,7.427963232859087,0.666111954377105,0.22662513125828956,0.10093638709046379,0.006326527274141651,7.2247097070662525
0.11872909698996656,6.143685040978205,9.26100042759327,9.586209086128095,7.43024104865875,0.6618566408948301,0.22883038481687967,0.10276908362707754,0.006543890661212608,7.2192256438209315
0.1214046822742475,6.122246810347587,9.244837644774444,9.576118152890636,7.432518864458412,0.6575697331486262,0.2310364456136264,0.10462570412041707,0.006768117117330303,7.21391089371194
0.12408026755852844,6.1008085797169676,9.22867486195562,9.566027219653177,7.434796680258074,0.6532516301615864,0.23324272185350908,0.10650625305000981,0.006999394934894812,7.208765187872922
0.12675585284280938,6.079370349086349,9.212512079136793,9.55593628641572,7.437074496057737,0.6489027492807908,0.23544861067775402,0.10841072372523662,0.00723791631621845,7.203788194825566
0.12943143812709032,6.05793211845573,9.196349296317969,9.545845353178262,7.4393523118574,0.6445235262228365,0.23765349836607252,0.1103390980087135,0.007483877402377409,7.198979519727392
0.13210702341137126,6.036493887825111,9.180186513499144,9.535754419940803,7.441630127657063,0.6401144151013733,0.23985676055488372,0.11229134604369724,0.00773747830004583,7.1943387036727255
0.13478260869565217,6.015055657194493,9.164023730680318,9.525663486703344,7.4439079434567255,0.6356758884361688,0.24205776247162128,0.1142674259859897,0.007998923106220213,7.1898652230492415
0.1374581939799331,5.993617426563874,9.147860947861494,9.515572553465887,7.446185759256388,0.6312084371432394,0.2442558591851968,0.11626728374082156,0.008268419930742248,7.1855584889525215
0.14013377926421405,5.972179195933255,9.131698165042668,9.505481620228428,7.448463575056051,0.6267125705056107,0.24645039587266251,0.11829085270519896,0.00854618091652781,7.181417846660906
0.142809364548495,5.950740965302637,9.115535382223843,9.49539068699097,7.450741390855714,0.6221888161243,0.24864070810208683,0.12033805351620257,0.008832422257410733,7.177442575172961
0.14548494983277593,5.929302734672017,9.099372599405019,9.485299753753512,7.453019206655376,0.6176377198491354,0.25082612213162686,0.1224087938057277,0.00912736421350999,7.173631886809773
0.14816053511705687,5.907864504041399,9.083209816586193,9.475208820516054,7.455297022455039,0.6130598456890647,0.2530059552247479,0.1245029679621576,0.009431231124029734,7.169984926884247
0.15083612040133781,5.88642627341078,9.067047033767368,9.465117887278595,7.457574838254701,0.6084557757016262,0.2551795159815105,0.12662045689946091,0.009744251417402318,7.16650077343946
0.15351170568561873,5.864988042780162,9.050884250948542,9.455026954041138,7.459852654054364,0.6038261098613,0.25734610468581126,0.12876112783420332,0.010066657618685384,7.163178437058084
0.1561872909698997,5.843549812149543,9.034721468129717,9.444936020803679,7.462130469854027,0.5991714659064835,0.25950501366842954,0.1309248340709615,0.010398686354125225,7.160016860744797
0.1588628762541806,5.822111581518924,9.018558685310893,9.43484508756622,7.46440828565369,0.5944924791648768,0.2616555276857004,0.13311141479662297,0.010740578352799806,7.157014919883465
0.16153846153846155,5.800673350888305,9.002395902492067,9.424754154328761,7.4666861014533525,0.5897898023570958,0.26379692431359664,0.13532069488405135,0.01109257844525625,7.154171422270811
0.1642140468227425,5.779235120257686,8.986233119673242,9.414663221091304,7.468963917253015,0.5850641053783789,0.26592847435697115,0.13755248470559062,0.011454935559059267,7.151485108228183
0.16688963210702343,5.757796889627068,8.970070336854416,9.404572287853846,7.471241733052678,0.580316075058285,0.2680494422736731,0.13980657995687337,0.01182790271116851,7.14895465079283
0.16956521739130437,5.736358658996449,8.953907554035592,9.394481354616387,7.47351954885234,0.5755464148983265,0.27015908661321764,0.14208276149139104,0.012211736997064952,7.146578655990112
0.17224080267558528,5.71492042836583,8.937744771216767,9.384390421378928,7.475797364652003,0.5707558447875255,0.27225666046965386,0.14438079516627247,0.012606699576548192,7.144355663187772
