city,Q_w1,K_100m,V_100m,house_price,gdp_per_capita,gdp_100m,pop_10k,per_capita_area_m2,fai_100m,city_tier,region4,province,fai_gdp_ratio,OCR_w1,Kstar_100m,ocr_cluster,ocr_color,Q_w2_extended,OCR_w2_extended
深圳市,7.610126961623662,22599.51285646059,172094.539607651,42221.75,162698.0,18497.7323,1103.7245093062606,36.864000000000004,3688.2357,一线,东部,广东省,0.19882993665555834,0.12591574036753958,179833.80997903628,0,绿色(适度),9.850499357123796,0.13520078927708565
上海市,6.82768619984688,56699.92600098543,389540.63232522673,43339.5,110179.0,26651.050000000003,2430.016664415935,36.864000000000004,6550.5327,一线,东部,上海市,0.246165069793148,0.26813632594025316,212936.04844635323,0,绿色(适度),6.918763235767292,0.2293291314103236
北京市,6.501892241263212,57360.34593826046,375701.2275400651,48128.5,112347.5,24341.86,2108.946922803273,36.864000000000004,7914.83495,一线,东部,北京市,0.3261815690699694,0.2999787637290331,192186.17792906816,0,绿色(适度),5.928843800124227,0.26887269253492335
厦门市,4.17462705006293,11691.156240174474,49374.554642947056,32296.5,93830.5,3625.1475,411.4957720588235,36.864000000000004,2023.7312499999998,二线,东部,福建省,0.5576747615731552,0.4824211851418585,24262.828354312092,0,绿色(适度),4.8350162224867805,0.4480521872763857
阜阳市,4.073842565600295,4723.933551478175,19101.465202376574,6453.25,16881.5,1334.6547,802.3305439330545,36.864000000000004,1148.8026,三线及以下,中部,安徽省,0.8574970305886455,1.6309508006059419,2889.589577650657,2,橙色(中度过度),2.6572717500166534,1.4652160371351408
广州市,3.6445777353781104,35541.097719040765,129789.67243954842,21384.75,139060.5,18823.927799999998,1643.5056256358089,36.864000000000004,5554.7690999999995,一线,东部,广东省,0.2952231374134011,0.18753330296109091,189486.48271154426,0,绿色(适度),4.306379433264243,0.24758705135536535
温州市,3.400204050267544,17728.88563028563,60088.43650876267,17358.75,53284.5,4859.8176,938.3858198198197,36.864000000000004,3681.0605,二线,东部,浙江省,0.7570217536848849,0.7719607456083429,22965.31817623772,0,绿色(适度),2.432519023484471,0.9097371144198967
丽水市,2.867834258035095,4583.464257842509,13144.615819120148,14130.0,56238.0,1210.2414,248.68022181146023,37.408,841.6456,三线及以下,东部,浙江省,0.6954361336506913,0.7813434360732107,5866.132671284187,0,绿色(适度),1.407518993630211,1.0052746528197614
茂名市,2.709274993657017,4667.817782333759,12557.368754593806,5723.75,41767.5,2541.18675,594.6758469945355,36.864000000000004,1137.7951,三线及以下,东部,广东省,0.4465238543439064,0.48072322507726367,9680.337162233322,0,绿色(适度),2.064644241931833,0.6466706779494772
东莞市,2.628650908830774,10929.378640379848,28929.369084636986,9970.75,79149.0,6551.38025,783.0537358490567,36.864000000000004,1501.988,新一线,东部,广东省,0.2293136319591138,0.28749311073007655,38148.9674171236,0,绿色(适度),4.210022282048553,0.2712586128956623
