year,province,city,city_code,region,city_tier,gdp_100m,gdp_per_capita,pop_10k,hc_city,K_100m,Kstar_100m,V_100m,urban_q,OCR,UCI,UCI_norm,UCI_class,fai_gdp_ratio,re_gdp_ratio,debt_gdp_ratio,tertiary_share_pct
2001,北京市,北京市,110000,东部,一线,2845.65,25542.0,1747.929348986126,3.441789152971644,5424.617476148989,61371.8831622643,,,0.08838929484706477,,,,0.4979787746209126,0.2754444503013371,,60.51
2002,北京市,北京市,110000,东部,一线,3212.71,28449.0,1769.7336890786196,3.4924976548979445,6967.68660234154,69381.67957781821,,,0.10042545301208239,,,,0.5647257299911912,0.307964304278942,,62.19
2003,北京市,北京市,110000,东部,一线,3663.1,32061.0,1789.232998932764,3.5479203952221456,8776.402272224463,79087.90372970866,,,0.11097022247825347,,,,0.5888728126450274,0.3282673964674729,,61.5
2004,北京市,北京市,110000,东部,一线,4283.31,37058.0,1811.1463607257208,3.5403394646536763,10865.88215861324,85026.95603920995,,,0.1277933806498079,,,,0.5902678069063411,0.3439596713756417,,60.0
2005,北京市,北京市,110000,东部,一线,6886.3101,45444.0,1838.8845962291,3.6222633485535,13149.78805068258,117551.15592154834,,,0.11186438744556904,,,,0.4105536867995532,0.2214538668538903,,69.15
2006,北京市,北京市,110000,东部,一线,7870.2835,50467.0,1865.2055496264672,3.5862994024582826,15863.79994814845,121329.13190898203,,,0.13075013146924236,,,,0.4283837170541569,0.2185264355470803,0.006353011298767,70.91
2007,北京市,北京市,110000,东部,一线,9353.32,58204.0,1889.5952614727855,3.546524629316249,19037.175650741025,126873.62239157296,,,0.15004833386080957,,,,0.4240810428810305,0.2133809812986191,0.0120812716767949,72.09
2008,北京市,北京市,110000,东部,一线,10488.05,63029.0,2024.4551049448592,3.4320932463619833,21933.863468203977,122372.59686520157,,,0.17923835915948588,,,,0.3669458669628768,0.1819917620530032,0.0117276328774176,73.25
2009,北京市,北京市,110000,东部,一线,12153.0,70452.0,1940.3215012451085,3.4394744807280997,25695.575394793777,129063.42555304973,,,0.1990926188785526,,,,0.3997700238624208,0.1923568172467703,0.0187607998025178,75.53
2010,北京市,北京市,110000,东部,一线,14113.58,75943.0,1958.9642120241904,3.3420560476430574,29904.314525054084,124233.76207450597,148419.12127693777,4.963134037150089,0.24071004552787953,20.618724184384938,1.0,绿灯-协调发展,0.3892363170790118,0.2055515751496077,0.0340097976558746,75.11
2011,北京市,北京市,110000,东部,一线,16251.93,81658.0,1990.2690145855568,3.2751308382355035,34260.618898801375,123659.3088697664,158833.24993418792,4.636029792787683,0.2770565290388566,16.73315481454505,1.0,绿灯-协调发展,0.3600507816610088,0.186829133524449,0.0456622690351238,76.07
2012,北京市,北京市,110000,东部,一线,17879.4,87475.0,2020.795090715048,3.257124731988527,38964.1674538613,127680.42406507143,199837.092574873,5.1287402152633295,0.30516947088148366,16.806203452950047,1.0,绿灯-协调发展,0.3588811425439332,0.1763729151984965,0.0593196639708267,76.46
2013,北京市,北京市,110000,东部,一线,19500.56,93213.0,2050.0752045535396,3.3515340653428565,43998.62868116824,150288.35499834892,280124.06689589436,6.366654491115758,0.292761396461167,21.746905733045498,1.0,绿灯-协调发展,0.358075337323646,0.1786309982892799,0.0679365105412357,76.85
2014,北京市,北京市,110000,东部,一线,21330.83,99995.0,2076.707648523657,3.3268798609023142,49310.17574710982,153401.8007199365,270679.7030473699,5.4893274855795875,0.3214445692012098,17.077057793263002,1.0,绿灯-协调发展,0.3521418763358012,0.1833656308732477,0.0875587119676074,77.95
