pref_code,prefecture_jp,prefecture_en,region,year,gdp_nominal_myen,gfcf_nominal_myen,population,gfcf_private_housing_myen,gfcf_private_equip_myen,gdp_per_capita_myen,gdp_growth_nominal,delta_gdp_myen,gfcf_gdp_ratio,pop_growth,muq,muq_ma3,ln_gdp,ln_pop,ln_gdp_pc,sna_basis
01,北海道,Hokkaido,北海道,1955,501679.0,99500.0,,,,,,,0.19833399444664815,,,,13.125715751912413,,,68SNA_S30
01,北海道,Hokkaido,北海道,1956,520058.0,131843.0,,,,,0.03663497973803964,18379.0,0.2535159539897473,,0.1394006507740267,0.3833059843215022,13.161695622799197,,,68SNA_S30
01,北海道,Hokkaido,北海道,1957,618480.0,156920.0,,,,,0.18925196804971756,98422.0,0.2537187944638469,,0.6272113178689778,0.3108142039338944,13.335020133994357,,,68SNA_S30
01,北海道,Hokkaido,北海道,1958,645192.0,161080.0,,,,,0.043189755529685625,26712.0,0.24966211608327443,,0.16583064315867893,0.37794923384743995,13.377303225900274,,,68SNA_S30
01,北海道,Hokkaido,北海道,1959,709120.0,187579.0,,,,,0.09908368361665976,63928.0,0.26452363492779785,,0.34080574051466317,0.30989698033129315,13.471780043660946,,,68SNA_S30
01,北海道,Hokkaido,北海道,1960,810244.0,239033.0,,,,,0.1426049187725631,101124.0,0.2950136008412281,,0.4230545573205373,0.38449738996577665,13.6050907158545,,,68SNA_S30
01,北海道,Hokkaido,北海道,1961,932258.0,313152.0,,,,,0.15058920522706742,122014.0,0.3359070128655372,,0.38963187206212957,0.36261060798616257,13.74536487939336,,,68SNA_S30
01,北海道,Hokkaido,北海道,1962,1026689.0,343204.0,,,,,0.10129277517597068,94431.0,0.33428233866341217,,0.27514539457582077,0.38657411000448466,13.841849619291802,,,68SNA_S30
01,北海道,Hokkaido,北海道,1963,1233139.0,417117.0,,,,,0.2010832881232778,206450.0,0.338256271190839,,0.49494506337550376,0.34159166351771314,14.025073508963702,,,68SNA_S30
01,北海道,Hokkaido,北海道,1964,1353834.0,473900.0,,,,,0.09787623293075631,120695.0,0.35004291515798835,,0.25468453260181473,0.3749214764833902,14.11845112523382,,,68SNA_S30
01,北海道,Hokkaido,北海道,1965,1533982.0,480222.0,,,,,0.13306505819768155,180148.0,0.31305582464461773,,0.37513483347285215,0.32341190252302265,14.24337752681181,,,68SNA_S30
01,北海道,Hokkaido,北海道,1966,1721548.0,550990.0,,,,,0.12227392498738587,187566.0,0.3200549737794125,,0.340416341494401,0.4157485681674357,14.358734444032471,,,68SNA_S30
01,北海道,Hokkaido,北海道,1967,2064525.0,645064.0,,,,,0.1992259292218399,342977.0,0.31245153243482154,,0.5316945295350539,0.4050983114524818,14.540410733704569,,,68SNA_S30
