prefecture,region,pop_1000,gdp_billion_yen,housing_1000,vacant_1000,area_km2,population,gdp_yen,gdp_per_capita,gdp_pc_million,housing_total,vacant_total,vacancy_rate,housing_per_capita,pop_density,ln_pop,ln_gdp_pc,ln_housing_pc,ln_vacancy,ln_pop_density
北海道,北海道,5224,19220,2747,382,83424,5224000,19220000000000.0,3679173.0474732006,3.6791730474732005,2747000,382000,13.906079359301055,0.5258422664624809,62.619869581894896,15.468773949938404,15.118198569532291,-0.6427539848609931,2.6323261084993925,4.137082633205176
青森,東北,1238,4502,589,97,9646,1238000,4502000000000.0,3636510.500807754,3.6365105008077543,589000,97000,16.468590831918505,0.47576736672051695,128.3433547584491,14.02900773222668,15.10653512618641,-0.7428262695929547,2.801454980839887,4.854709131597761
岩手,東北,1211,4730,553,90,15275,1211000,4730000000000.0,3905862.923203964,3.905862923203964,553000,90000,16.2748643761302,0.45664739884393063,79.2798690671031,14.006957022535229,15.177989295897161,-0.7838437420307575,2.789621854796022,4.372984238495433
宮城,東北,2302,9300,1068,136,7282,2302000,9300000000000.0,4039965.2476107734,4.039965247610773,1068000,136000,12.734082397003746,0.4639443961772372,316.12194452073606,14.649288868263964,15.211746647823794,-0.7679905697616878,2.5442820522040033,5.756128039528586
秋田,東北,960,3377,432,74,11638,960000,3377000000000.0,3517708.3333333335,3.5177083333333337,432000,74000,17.12962962962963,0.45,82.48840006874033,13.77468856344402,15.07332029388796,-0.7985076962177716,2.840809690948151,4.412657678227403
山形,東北,1068,3949,430,57,9323,1068000,3949000000000.0,3697565.543071161,3.697565543071161,430000,57000,13.25581395348837,0.40262172284644193,114.55540062211735,13.881298298502276,15.123185199730784,-0.909757810832532,2.5844362451350333,4.741058554205583
福島,東北,1834,7570,849,127,13784,1834000,7570000000000.0,4127589.967284624,4.127589967284624,849000,127000,14.958775029446409,0.4629225736095965,133.05281485780614,14.422009931798547,15.233204251579359,-0.7701954665050629,2.7052980861353353,4.890746153590782
茨城,関東,2868,12920,1294,195,6097,2868000,12920000000000.0,4504881.450488145,4.504881450488146,1294000,195000,15.069551777434311,0.4511854951185495,470.3952763654256,14.869125480701648,15.320672133581356,-0.7958767266586652,2.7126762694909923,6.153573354793832
栃木,関東,1934,9050,869,124,6408,1934000,9050000000000.0,4679420.8893485,4.6794208893485,869000,124000,14.2692750287687,0.44932781799379523,301.8102372034956,14.475100954995376,15.358684918645006,-0.8000025507478477,2.6581086263277363,5.7097984662471815
群馬,関東,1940,8680,896,117,6362,1940000,8680000000000.0,4474226.804123712,4.474226804123711,896000,117000,13.058035714285715,0.4618556701030928,304.9355548569632,14.47819853103951,15.313844113561297,-0.7725028390824433,2.5694037078109173,5.720100458730421
埼玉,関東,7345,22840,3263,345,3798,7345000,22840000000000.0,3109598.366235534,3.109598366235534,3263000,345000,10.57309224639902,0.44424778761061945,1933.9125855713532,15.809530367590115,14.950004133126242,-0.8113727920146571,2.3583123064261304,7.567300476217883
千葉,関東,6284,20600,2883,381,5158,6284000,20600000000000.0,3278166.7727562063,3.2781667727562063,2883000,381000,13.215400624349636,0.45878421387651175,1218.301667312912,15.653517278357649,15.002794913366435,-0.7791753017371097,2.58138286347639,7.105213091916359
東京,関東,14048,115440,7671,810,2194,14048000,115440000000000.0,8217539.86332574,8.21753986332574,7671000,810000,10.559249120062573,0.5460563781321185,6402.917046490428,16.457990594857034,15.92178143553713,-0.6050330519156015,2.3570021696952796,8.76450895402186
神奈川,関東,9237,35530,4451,484,2416,9237000,35530000000000.0,3846486.954638952,3.846486954638952,4451000,484000,10.8739609076612,0.4818664068420483,3823.2615894039736,16.038727715574748,15.162670810386738,-0.7300883675767558,2.3863710236888687,8.24885915652004
新潟,中部,2202,8710,972,130,12584,2202000,8710000000000.0,3955495.004541326,3.955495004541326,972000,130000,13.37448559670782,0.44141689373297005,174.9841068022886,14.604876596264763,15.190616310528197,-0.8177655128221861,2.5933488319832345,5.164695151526648
富山,中部,1035,4620,425,52,4248,1035000,4620000000000.0,4463768.115942029,4.463768115942029,425000,52000,12.23529411764706,0.4106280193236715,243.64406779661016,13.849911984681606,15.31150383634059,-0.8900675367750527,2.504324735645102,5.495708421759832
石川,中部,1133,4740,509,68,4186,1133000,4740000000000.0,4183583.406884378,4.183583406884378,509000,68000,13.359528487229863,0.4492497793468667,270.66411849020545,13.940379540010143,15.24667871162539,-0.8001762444774836,2.5922298746136754,5.6008786370041985
福井,中部,767,3300,319,42,4190,767000,3300000000000.0,4302477.183833116,4.3024771838331155,319000,42000,13.166144200626958,0.41590612777053454,183.054892601432,13.550242080349394,15.27470150405159,-0.8772956985824116,2.577648701486615,5.2097860674332095
山梨,中部,810,3290,397,71,4465,810000,3290000000000.0,4061728.3950617285,4.061728395061729,397000,71000,17.884130982367758,0.4901234567901235,181.41097424412095,13.604789526648622,15.217119154057206,-0.713097966979294,2.8839137823422165,5.200765033338022
長野,中部,2049,8100,960,190,13562,2049000,8100000000000.0,3953147.877013177,3.953147877013177,960000,190000,19.791666666666664,0.4685212298682284,151.0839109275918,14.532862427221037,15.190022750385905,-0.7581738637770178,2.9852609736866955,5.01783538397725
岐阜,中部,1979,7610,873,121,10621,1979000,7610000000000.0,3845376.452753916,3.845376452753916,873000,121000,13.860252004581902,0.44113188479029813,186.32897090669428,14.498102224584702,15.16238206321744,-0.8184113897629635,2.6290251757452303,5.227513772263163
