income_group,gfcf_pct_gdp,MUQ_real_loess
Low income,5.15855669560512,1.7117051950521607
Low income,5.27564010414816,1.749042862105005
Low income,5.27775613441201,1.7497171514205847
Low income,5.31347525555798,1.7610967243805513
Low income,5.35490468896384,1.7742896176305458
Low income,5.5391670895105,1.832905713809353
Low income,5.57286605626242,1.8436181657184498
Low income,5.67489243674408,1.8760457795794803
Low income,5.74528787994683,1.8984216592585348
Low income,6.34984852529107,2.0915263192044593
Low income,6.4047925068294,2.10923817711058
Low income,6.44926785658099,2.1236045911534807
Low income,6.66278790417492,2.1929866210532856
Low income,6.69601464877468,2.2038507397529554
Low income,6.73025835177764,2.215068049748299
Low income,6.89418572294783,2.2690737126745897
Low income,6.90370339562912,2.2722256092802913
Low income,6.94774316217041,2.2868341277395507
Low income,7.08478439299582,2.332548952578918
Low income,7.18508393310367,2.3662535656715393
Low income,7.30759506432244,2.407697700369885
Low income,7.42893344939399,2.449033139949026
Low income,7.68751251666877,2.538032554764612
Low income,7.74811426056782,2.5590615482843027
Low income,7.85597381342062,2.5966367564878103
Low income,8.03404355809292,2.6590409138913316
Low income,8.07825703921239,2.6745989409941613
Low income,8.23517750579498,2.7299852097012933
Low income,8.2578103911793,2.737992167133754
Low income,8.36977422841006,2.7776537994378048
Low income,8.50297484952647,2.824914557000951
Low income,8.66377045690347,2.88199588853204
Low income,8.73201845394909,2.9062073836040927
Low income,8.87091919130073,2.9553978589382526
Low income,8.93353731923908,2.9775140262585587
Low income,9.04183552032093,3.015636917319467
Low income,9.07239233932959,3.0263581015362635
Low income,9.10055833434599,3.0362245145351685
Low income,9.14586516937123,3.0520603416048115
Low income,9.19963201471941,3.070791667404443
Low income,9.22138667852588,3.0783500040622314
Low income,9.3059152625505,3.1075944394339707
Low income,9.34926616353232,3.122509621788067
Low income,9.41153413902452,3.1438250085485566
Low income,9.42478361067805,3.148343107293638
Low income,9.5154188375478,3.1790736176624232
Low income,9.52611618731957,3.182679325335783
Low income,9.53845645666434,3.186832936414869
Low income,9.63046072028811,3.2175918941816337
Low income,9.65241491109741,3.2248740884315956
Low income,9.65360633547398,3.225268616668641
Low income,9.66409780323952,3.228739755495297
Low income,9.71821305841924,3.24655566022497
Low income,9.71821588881624,3.246556588067375
Low income,9.77518928933471,3.2651443224640824
Low income,9.80557382661944,3.274981602959346
Low income,9.81989005820097,3.2795974535588917
Low income,9.84849289180035,3.288781478926027
Low income,9.85962557614822,3.2923419354550343
Low income,9.86481735599986,3.293999606455288
Low income,9.98250901704606,3.331074075339961
Low income,9.99271197361333,3.334239828984451
Low income,10.0086967702243,3.3391830037876975
Low income,10.1014595941616,3.3674489198012623
Low income,10.1519133023369,3.3825004842237054
Low income,10.1742952422536,3.3890996856920874
Low income,10.2263950817264,3.4042660656164108
Low income,10.2342110190608,3.406516985664778
Low income,10.2853747297938,3.4210876464799767
Low income,10.3479835903356,3.438509923812198
Low income,10.4369308817555,3.4624224328098028
Low income,10.4602504989409,3.468517456089538
Low income,10.4622568172465,3.469038321795194
Low income,10.4780751112207,3.4731251078382486
Low income,10.6300763246785,3.5104965068327516
Low income,10.6307695011456,3.510658660477058
Low income,10.6419572601797,3.5132649913402445
Low income,10.6553007246765,3.516346797554201
Low income,10.6872405778362,3.5236045841911467
Low income,10.7686344431485,3.5413328229169445
Low income,10.7696005106273,3.541536604724673
Low income,10.7923497166665,3.546290569520808
Low income,10.8781249783208,3.563459226494896
Low income,10.9088699140053,3.56933475558424
Low income,10.9699988705018,3.580622744170709
Low income,10.9702431408945,3.5806668818407696
Low income,10.9785927983031,3.5821713153894197
Low income,10.9919362832176,3.58455878249292
Low income,11.0063444019559,3.5871148577328618
Low income,11.03600434571,3.59231235049776
Low income,11.1348742281668,3.6092262313764896
Low income,11.1362280233226,3.609455881667302
Low income,11.1537689132642,3.6124329703885922
Low income,11.1727401352846,3.615660842640711
Low income,11.2029525683869,3.6215834399871545
Low income,11.3751213808684,3.6573679830986054
Low income,11.7187573236833,3.730959125268109
Low income,11.7547995640832,3.7398584598247746
Low income,11.7846878662606,3.747536338689
Low income,11.8127238658526,3.754991602766771
Low income,11.8213553085961,3.7573370774758934
Low income,11.9350115113759,3.790470830105022
Low income,12.006718003226,3.8121181702594784
Low income,12.0671813850112,3.8275799797532457
Low income,12.1003307607497,3.8335665759454645
Low income,12.1277374869663,3.8426910805772154
Low income,12.1421129521393,3.8475540846240257
Low income,12.1783088235294,3.86002261033733
Low income,12.21409357242,3.8711378403272536
Low income,12.2465309420613,3.8775537408003307
Low income,12.2911723538114,3.8920470490484993
Low income,12.2933453010977,3.892824019112026
Low income,12.29355375634,3.8928985954477526
Low income,12.3698610342809,3.9185598746578028
Low income,12.5665208782691,3.970932253717188
Low income,12.6161021461481,3.9853096757866893
Low income,12.698389867273,4.006823366182168
Low income,12.7040800379721,4.008841187605835
Low income,12.7283872854476,4.017468930392525
Low income,12.7827983795575,4.02709704105661
Low income,12.7844289211049,4.027666242606916
Low income,12.8828023034422,4.061937713221596
Low income,12.8914138046647,4.06492150599031
Low income,12.8961682852301,4.066566965831041
Low income,12.8987592824872,4.067463062116844
Low income,12.9141788352504,4.071847651164428
Low income,12.9187965036887,4.071919536572238
Low income,12.9217423859069,4.0719633414595
Low income,12.9619643989924,4.0811517261239105
Low income,12.9693784594325,4.08242094579938
Low income,13.0059154757791,4.089553289064279
Low income,13.0300068740216,4.097501091361344
Low income,13.0539115753172,4.1001332065045135
Low income,13.1124812957632,4.1179961804184035
Low income,13.1689898461308,4.133294535980961
Low income,13.1893137792234,4.138170880286116
Low income,13.2439531341497,4.154493261461389
Low income,13.2529322112517,4.15711797506498
Low income,13.2731764800927,4.157388983370464
Low income,13.4091329900849,4.151876532738242
Low income,13.4133986017882,4.1515401757750245
Low income,13.4380467623029,4.149554808937411
Low income,13.4652634736586,4.147285586420463
Low income,13.4943133058231,4.144784121583649
Low income,13.4988647349978,4.144385446698998
Low income,13.5820660324304,4.155159987715721
Low income,13.5886976939638,4.156619557052511
Low income,13.7245656856915,4.167502743605432
Low income,13.8097794362117,4.173716243576102
Low income,13.8767105275043,4.180964393723458
Low income,13.9082566392287,4.185183682373556
Low income,13.9148850840475,4.186021572063091
Low income,13.9666861927182,4.186129773591552
Low income,14.0753129793851,4.185637322349335
Low income,14.1426317986473,4.181929144350658
Low income,14.1454908936555,4.181491895209035
Low income,14.2520471754012,4.176232869310042
Low income,14.3050078362201,4.177524143714029
Low income,14.3060506730983,4.177363207883915
Low income,14.3183765243099,4.175478173989971
Low income,14.3420020813223,4.172960240608894
Low income,14.3571966427418,4.1733024155719916
Low income,14.3572006203523,4.173302497329545
Low income,14.3704263730672,4.1714526858002365
Low income,14.3992388574488,4.167327650121752
Low income,14.4183111720954,4.1662126661264995
Low income,14.4249471739459,4.166294277438067
Low income,14.4638878944037,4.163096783493547
Low income,14.5092173370671,4.158131676175783
Low income,14.585516384253,4.150486217074221
Low income,14.6499832156687,4.146882680231713
Low income,14.7115331277791,4.140869667360895
Low income,14.8076611218115,4.13637436367394
Low income,14.8088986505599,4.136293715216832
Low income,14.8383072066619,4.133972841292817
Low income,14.9647881045588,4.125109873867271
Low income,15.0861823766995,4.118028166313711
Low income,15.1471395794747,4.11498146203844
Low income,15.1712651209099,4.1142321857125115
Low income,15.1992923724007,4.112807013843433
Low income,15.2036207503395,4.112494769240297
Low income,15.2795498051491,4.108883703203745
Low income,15.3862424089972,4.109260882833566
Low income,15.4745263372056,4.107595915097439
Low income,15.536239633222,4.106241952042245
Low income,15.6340960424373,4.110112458037646
Low income,15.634922833423,4.1102061156809935
Low income,15.6906853088323,4.111698716070049
Low income,15.724714459189,4.110681265934782
Low income,15.7339197969811,4.110553822012991
Low income,15.7638262887875,4.111529957500125
Low income,15.8396712328715,4.113232509635711
Low income,15.8577853759389,4.116459424557629
Low income,15.8951941535138,4.123316775195918
Low income,15.9163452639467,4.125356069805846
Low income,15.9178359263865,4.125663728460872
Low income,16.0701130463914,4.139559090176191
Low income,16.0759682966951,4.139148425455082
Low income,16.1364232338687,4.15273293318235
Low income,16.1944098294004,4.161308242432891
Low income,16.2029591948916,4.163712297533874
Low income,16.2864963533095,4.172518237452326
Low income,16.3306385807642,4.182597012956967
Low income,16.3673442316062,4.181306025848159
Low income,16.3979800021887,4.184925640038872
Low income,16.5992532669571,4.236465286863363
Low income,16.6526122015212,4.241778535372708
Low income,16.7467287184294,4.2612802114960315
Low income,16.9164563797199,4.271524985034005
Low income,16.9688001917549,4.273540940076702
Low income,16.972280963948,4.273681510242909
Low income,16.9728012774724,4.273702589720899
Low income,17.0380807060268,4.27810319364217
Low income,17.0912927238886,4.300840888424623
Low income,17.1708119379231,4.32485252035557
Low income,17.1957671957672,4.336712284712112
Low income,17.2171027929582,4.341185554176543
Low income,17.2307966100337,4.346046851954293
Low income,17.2536884088742,4.352234020860357
Low income,17.3526851073987,4.376706921708955
Low income,17.3969911909975,4.382216215105501
Low income,17.4249472909029,4.392290309627786
Low income,17.4626810057996,4.408938786707571
Low income,17.5815204873221,4.453404529436916
Low income,17.6010365040269,4.464358764975732
Low income,17.6215089203185,4.47312385301846
Low income,17.649430444394,4.483876512582631
Low income,17.7501593371858,4.536537537938975
Low income,17.8156790638551,4.562695105329249
Low income,17.8189278812472,4.564591892568212
Low income,17.8284163457472,4.570088108633721
Low income,17.8931098133478,4.604918210947484
Low income,17.9710180283477,4.619355050271365
Low income,17.9786140989487,4.620735795434621
Low income,17.9935696457721,4.623485969733138
Low income,18.0181097044226,4.6280917210625905
Low income,18.0723059863942,4.6581111452924935
Low income,18.1351311386233,4.675754615312954
Low income,18.1832239589598,4.697916136056359
Low income,18.2210881945706,4.7162429346811345
Low income,18.2573605887643,4.736997140868914
Low income,18.2711294810325,4.740146213403494
Low income,18.2789041943972,4.741939033284958
Low income,18.4361458324866,4.81593721727168
Low income,18.7639055880811,4.9978553202857094
Low income,18.7915710542384,5.009001114850424
Low income,18.8979192279547,5.0637840812666965
Low income,18.959472537268,5.0915163897598585
Low income,18.9759521628124,5.097421541795424
Low income,19.0211737666785,5.119520281975332
Low income,19.023650215607,5.120342814306212
Low income,19.1170063361012,5.162286611257122
Low income,19.1403974009873,5.174731909576299
Low income,19.2098413655205,5.200858776640989
Low income,19.265179238009,5.231526961915648
Low income,19.2975411959793,5.247315841446951
Low income,19.3003705042199,5.2488760754148025
Low income,19.366452387911,5.284795462198729
Low income,19.4674095479671,5.337877781816916
Low income,19.5825981449716,5.39338448289371
Low income,19.7241316199789,5.457264079283755
Low income,19.9436147571396,5.563293035514734
Low income,19.9517842192507,5.567309878592033
Low income,19.9527580932241,5.567790353731723
Low income,19.9603683762367,5.571453705406323
Low income,19.9632838513961,5.57284898311596
Low income,20.0018536302565,5.591215420030892
Low income,20.0589630989282,5.617747181010953
Low income,20.1227742664708,5.647952738769909
Low income,20.2129960620874,5.692031765246857
Low income,20.2451557982691,5.709027975914344
Low income,20.3112680040621,5.73798569314228
Low income,20.3498140429739,5.754325318219962
Low income,20.3652602341327,5.760777971734394
Low income,20.5055813794194,5.8246309646385965
Low income,20.5062993645138,5.824914353650257
Low income,20.6175261375337,5.873004138600837
Low income,20.6833256726828,5.897279826306495
Low income,20.834934699855,5.953283590218872
Low income,20.8771686494917,5.966924776769628
Low income,20.8776384260612,5.967074094488704
Low income,20.9415491831803,5.986897809090722
Low income,21.0320223196991,6.014861993853166
Low income,21.0735855497085,6.026395387184519
Low income,21.1137502536834,6.040698385520258
Low income,21.1510251154033,6.050437956318536
Low income,21.1559057609307,6.0516902268130774
Low income,21.2591407808228,6.076953442357223
Low income,21.3355187398765,6.0958531830478
Low income,21.5239019654968,6.155880037054047
Low income,21.5663517910828,6.166870814138183
Low income,21.5932895996857,6.17964243305552
Low income,21.6944450977083,6.2074670839287185
