figure,panel,urban_pct_bin,MUQ_median,MUQ_q25,MUQ_q75,n_obs,component,rho,msa_name,year,region,invest_intensity,dV_GDP,country,beta,ci_lower,ci_upper,metric,note
fig1,a_global,5.362989804210045,8.26893002727856,5.183280842516236,12.692947345004718,24.0,,,,,,,,,,,,,
fig1,a_global,10.216169814250556,6.82152736255866,3.0258362849462936,12.395980357684278,38.0,,,,,,,,,,,,,
fig1,a_global,15.069349824291066,10.535020183070621,3.526384084132559,14.265637651013387,86.0,,,,,,,,,,,,,
fig1,a_global,19.922529834331577,10.516263619251813,5.757901591433159,13.733219666471442,116.0,,,,,,,,,,,,,
fig1,a_global,24.775709844372088,10.189250138482906,6.143680436620584,13.864450858833417,93.0,,,,,,,,,,,,,
fig1,a_global,29.6288898544126,11.32085439550975,6.64865546169764,15.586559768294354,101.0,,,,,,,,,,,,,
fig1,a_global,34.48206986445311,8.969955177928721,2.360259993743968,14.296048740293948,141.0,,,,,,,,,,,,,
fig1,a_global,39.33524987449363,10.708541502267913,6.680807004587896,15.016641823949216,154.0,,,,,,,,,,,,,
fig1,a_global,44.18842988453413,8.923381938938675,4.905597549564453,12.913432500830462,166.0,,,,,,,,,,,,,
fig1,a_global,49.04160989457465,11.174895686465526,6.139196406497727,14.946489373095922,132.0,,,,,,,,,,,,,
fig1,a_global,53.89478990461515,11.264553502760904,5.230689767296643,16.657019026799034,164.0,,,,,,,,,,,,,
fig1,a_global,58.74796991465567,10.466449663073538,5.719048469482564,15.317460872721144,126.0,,,,,,,,,,,,,
fig1,a_global,63.60114992469617,10.872135883740228,5.15579376085046,15.271803326604305,163.0,,,,,,,,,,,,,
fig1,a_global,68.45432993473668,11.427757993733394,6.339523402996766,16.7534428438691,202.0,,,,,,,,,,,,,
fig1,a_global,73.3075099447772,12.179526180454708,7.889454999497316,15.357342050328054,156.0,,,,,,,,,,,,,
fig1,a_global,78.1606899548177,13.14885026287077,8.960636147035602,16.754143435402415,205.0,,,,,,,,,,,,,
fig1,a_global,83.01386996485822,10.707632538601109,6.131823076285136,15.481806082606054,203.0,,,,,,,,,,,,,
fig1,a_global,87.86704997489872,10.106708117893378,5.104552899571949,14.167272187755227,176.0,,,,,,,,,,,,,
fig1,a_global,92.72022998493924,11.844083679354116,6.769823462466775,15.90670570069796,95.0,,,,,,,,,,,,,
fig1,a_global,97.57340999497974,10.383221802003657,5.608296062595683,14.104233514214915,88.0,,,,,,,,,,,,,
fig1,b_low_income,5.382516926290507,8.26893002727856,5.183280842516236,12.692947345004718,24.0,,,,,,,,,,,,,
fig1,b_low_income,10.274751180491942,6.058506292051465,3.088805072103295,8.595746011068892,20.0,,,,,,,,,,,,,
fig1,b_low_income,15.166985434693377,9.278418267133038,3.255834566347308,13.27919243757163,42.0,,,,,,,,,,,,,
fig1,b_low_income,20.05921968889481,9.187668263984886,5.213535280818393,12.798574446416056,46.0,,,,,,,,,,,,,
fig1,b_low_income,24.951453943096244,8.877032485817992,4.3706468126466715,11.751337155736868,50.0,,,,,,,,,,,,,
fig1,b_low_income,29.84368819729768,8.576516366719057,4.7998250190866205,13.842694475273525,34.0,,,,,,,,,,,,,
fig1,b_low_income,34.73592245149912,7.703223126406656,1.9453848603008264,12.853684922921628,49.0,,,,,,,,,,,,,
fig1,b_low_income,39.62815670570055,9.998344481187207,3.1323423547991216,12.770472482003314,32.0,,,,,,,,,,,,,
fig1,b_low_income,44.52039095990199,5.161847611141906,-1.5476071415839134,8.375626289572331,8.0,,,,,,,,,,,,,
fig1,b_low_income,49.412625214103414,,,,1.0,,,,,,,,,,,,,
fig1,b_low_income,54.304859468304855,,,,3.0,,,,,,,,,,,,,
fig1,b_low_income,59.19709372250628,6.3437718425005665,-1.1305755941897009,10.824482838986103,6.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,11.482724435993342,6.611896371356302,-1.5960786247168561,9.433798344602828,16.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,18.232314489541086,12.208991348643156,7.0954110993882455,15.98857288165718,45.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,24.98190454308883,12.290336688227356,8.361898451519671,15.932486929338882,43.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,31.731494596636573,9.798060570819676,2.268127488134664,15.592665754927607,67.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,38.48108465018432,10.70379654553558,5.960184777588614,15.136643564620224,70.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,45.23067470373206,9.409410800889969,5.183717921675761,13.74019386087937,87.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,51.980264757279805,12.227401830305606,5.574133972941274,16.252816451225286,42.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,58.729854810827554,12.506698584073343,4.013237125682454,16.501103886946982,22.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,65.4794448643753,11.59213205275774,5.043970056244454,14.39343883106196,22.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,72.22903491792303,4.059218216601903,2.9243077944454914,7.565406363046857,9.0,,,,,,,,,,,,,
fig1,b_lower_middle_income,78.9786249714708,2.8139142779868007,1.519479717659025,3.843281339514691,11.0,,,,,,,,,,,,,
