country,beta_V,beta_V_se,beta_K_or_HU,beta_K_or_HU_se,beta_GDP,beta_GDP_se
China,1.339,0.0563,0.861,0.045,1.0377,0.0533
USA,1.1450002392013299,0.01109219713861068,0.9745618585193568,0.0029594860691742482,1.0588858945006703,0.01012403010607642
Japan,,,1.0226344684073772,0.014208720984683641,1.080380324198784,0.04948802462168586
EU(FE),,,,,1.1251792801721414,0.013370742778710627
Brazil,,,,,1.0309714129618757,0.00751496948921786
