mun_code,mun_name,uf,regiao,population,gdp_pc_brl,ln_pop,ln_gdp_pc,residual
1100015,Alta Floresta D'Oeste - RO,RO,Norte,22787,45918.418396454115,10.033945476892105,10.73462158781436,0.41703354442855556
1100023,Ariquemes - RO,RO,Norte,109170,40155.85783640194,11.600661579274314,10.600523607522302,0.23441215273559735
1100031,Cabixi - RO,RO,Norte,5664,53112.99435028248,8.641885635373555,10.880176891986858,0.6057029088203674
1100049,Cacoal - RO,RO,Norte,98280,39158.201058201055,11.495575826635115,10.575365157341068,0.2125083567957624
1100056,Cerejeiras - RO,RO,Norte,16966,59317.9889190145,9.73896662036768,10.990667893435342,0.6822157620299762
1100064,Colorado do Oeste - RO,RO,Norte,16508,35188.93869638963,9.711600390872473,10.468487070622118,0.16088251001165865
1100072,Corumbiara - RO,RO,Norte,7968,63951.5562248996,8.983188799264434,11.065881141736693,0.7808365173361427
1100080,Costa Marques - RO,RO,Norte,13510,30639.748334566986,9.511185430954244,10.330053410197003,0.028655984073909124
1100098,Espigão D'Oeste - RO,RO,Norte,32842,31178.764996041653,10.399463463051783,10.347492532976824,0.018583881096674304
1100106,Guajará-Mirim - RO,RO,Norte,43594,26265.86227462495,10.682674805188459,10.176025362646433,-0.16165474466651908
1100114,Jaru - RO,RO,Norte,55682,45177.220645810135,10.92741221390344,10.71834827077271,0.37308830010722716
1100122,Ji-Paraná - RO,RO,Norte,140101,41573.37920500211,11.850118870058369,10.635215318454588,0.2613778188986604
1100130,Machadinho D'Oeste - RO,RO,Norte,34149,30917.625699141994,10.438488581993326,10.339081711238803,0.008964396284028453
1100148,Nova Brasilândia D'Oeste - RO,RO,Norte,16374,44702.08867717112,9.703449989936393,10.707775506068646,0.4004233748913837
1100155,Ouro Preto do Oeste - RO,RO,Norte,38684,32971.7454244649,10.563181356836854,10.403406274442037,0.06942704806422206
1100189,Pimenta Bueno - RO,RO,Norte,39220,54164.711881693016,10.576942099750337,10.899784903094645,0.5653794870653943
1100205,Porto Velho - RO,RO,Norte,517709,49066.547037042044,13.15716858732455,10.800932758502068,0.38661408239098627
1100254,Presidente Médici - RO,RO,Norte,20443,37972.949175756985,9.925395804585008,10.544629321417313,0.2304032147594075
1100262,Rio Crespo - RO,RO,Norte,3767,70390.230953013,8.23403420769204,11.161809767645424,0.8999675194727477
1100288,Rolim de Moura - RO,RO,Norte,62959,36335.249924554075,11.050238999864765,10.500543621369012,0.15147953159274152
1100296,Santa Luzia D'Oeste - RO,RO,Norte,7837,37244.73650631619,8.966611387052865,10.5252659119798,0.2407347134586928
1100304,Vilhena - RO,RO,Norte,109651,46655.160463652865,11.60505787373149,10.750538821028897,0.3842912067910582
1100320,São Miguel do Guaporé - RO,RO,Norte,22305,69454.92042143017,10.012566147562366,11.148433194073583,0.8315072987252972
1100338,Nova Mamoré - RO,RO,Norte,28701,36952.231629559945,10.264687244346277,10.517381320481137,0.19264687852795603
1100346,Alvorada D'Oeste - RO,RO,Norte,13720,35468.36734693877,9.526609901279876,10.476396517583366,0.1745213738200988
1100379,Alto Alegre dos Parecis - RO,RO,Norte,12237,46999.18280624336,9.412219427985669,10.757885493439833,0.45955318426386427
1100403,Alto Paraíso - RO,RO,Norte,17467,38239.136657697374,9.768068665428393,10.551614789967415,0.24226132710643888
1100452,Buritis - RO,RO,Norte,30649,39838.42865998891,10.330355314404699,10.592587269655368,0.2658189947859988
1100502,Novo Horizonte do Oeste - RO,RO,Norte,7972,41640.49172102358,8.983690681332686,10.63682833152142,0.3517681631240759
1100601,Cacaulândia - RO,RO,Norte,4292,55682.43243243243,8.36450810375059,10.927419979981405,0.6615367708931554
1100700,Campo Novo de Rondônia - RO,RO,Norte,9095,50055.085211654754,9.115480090952223,10.820879382212633,0.5317375095859607
1100809,Candeias do Jamari - RO,RO,Norte,24313,41196.47924978407,10.098766465702033,10.626108076583794,0.3065124355849598
1100908,Castanheiras - RO,RO,Norte,3450,40172.17391304348,8.146129510025405,10.60092984371434,0.3418101282343855
1100924,Chupinguaia - RO,RO,Norte,10191,66135.80610342459,9.229260256828693,11.099465575142569,0.8067997700116649
1100940,Cujubim - RO,RO,Norte,15877,36666.12080367828,9.672626800077511,10.509608468823219,0.20321097538787747
1101005,Governador Jorge Teixeira - RO,RO,Norte,8340,38384.05275779377,9.028818495352793,10.555397359552108,0.26893951899068114
1101104,Itapuã do Oeste - RO,RO,Norte,9228,36861.94191590811,9.129997619293645,10.514934913393006,0.2253434124008855
1101203,Ministro Andreazza - RO,RO,Norte,6519,67538.27274121798,8.782476268924539,11.120449719748432,0.8416214460116613
1101302,Mirante da Serra - RO,RO,Norte,9657,39368.23029926478,9.175438319966918,10.580714432438905,0.28971556874095583
1101401,Monte Negro - RO,RO,Norte,12168,43309.5003287311,9.406564833939129,10.676127297054405,0.3779701186457842
1101435,Nova União - RO,RO,Norte,6541,29591.346888854914,8.785845337961213,10.295237262738011,0.01630464417280919
1101450,Parecis - RO,RO,Norte,4372,46091.03385178408,8.382975849296429,10.738373716614728,0.4719185353527031
1101468,Pimenteiras do Oeste - RO,RO,Norte,2309,153826.3317453443,7.744569809354496,11.943579529106364,1.6968966849447362
1101476,Primavera de Rondônia - RO,RO,Norte,3268,40144.73684210526,8.091933455979893,10.600246623412476,0.3428054363032693
1101484,São Felipe D'Oeste - RO,RO,Norte,5588,31837.151037938438,8.628376720376853,10.368389158503291,0.09433356552182914
1101492,São Francisco do Guaporé - RO,RO,Norte,17557,40804.8641567466,9.773208009769208,10.616556572814273,0.3070439371973652
1101500,Seringueiras - RO,RO,Norte,12965,34477.207867335135,9.470008697972764,10.44805374317316,0.14793161865165594
1101559,Teixeirópolis - RO,RO,Norte,4521,34599.86728599868,8.416488487294606,10.451605125373682,0.18411201036077252
1101609,Theobroma - RO,RO,Norte,8459,36381.84182527485,9.042986242304014,10.501825078203312,0.2149284425003195
1101708,Urupá - RO,RO,Norte,11314,32721.76065052148,9.333796175903101,10.395795598881513,0.09989216863160699
1101757,Vale do Anari - RO,RO,Norte,8220,31303.041362530414,9.014325488050225,10.35147053993969,0.0654615682924895
1101807,Vale do Paraíso - RO,RO,Norte,6790,33164.506627393224,8.823206220552741,10.409235505545468,0.12914576765690278
1200013,Acrelândia - AC,AC,Norte,14712,34166.87058183795,9.596418766284158,10.439011757123597,0.13497453417388172
1200054,Assis Brasil - AC,AC,Norte,8648,21665.81868640148,9.065083359319043,9.983491121893069,-0.30408989274626386
1200104,Brasiléia - AC,AC,Norte,28028,33173.9688882546,10.240959289490425,10.409520777730334,0.08552122406573481
1200138,Bujari - AC,AC,Norte,13928,26236.286616886846,9.541656481448024,10.174898716918934,-0.12744244069238597
1200179,Capixaba - AC,AC,Norte,10981,48325.0159366178,9.303921785597714,10.785704633856463,0.4907264556856905
1200203,Cruzeiro do Sul - AC,AC,Norte,98916,27095.141332039308,11.502026284101229,10.207109704153405,-0.1559468761738767
1200252,Epitaciolândia - AC,AC,Norte,19874,39922.864043473885,9.897167623791308,10.59470447242788,0.2813526324144995
1200302,Feijó - AC,AC,Norte,37764,19630.971295413623,10.539111546852407,9.884863766199926,-0.44836998415294715
1200328,Jordão - AC,AC,Norte,9884,15241.602590044517,9.1986725671085,9.631783980539113,-0.6599344806219154
1200336,Mâncio Lima - AC,AC,Norte,20479,16564.48068753357,9.927155249836312,9.715015964259694,-0.5992646349036743
1200344,Manoel Urbano - AC,AC,Norte,12923,20321.44238953803,9.466763948525191,9.919431882910299,-0.3805897471361064
