city,city_tier,Q_w1,OCR_w1,region4,province,city_tier_en
黄山市,三线及以下,0.7451747028707891,1.9603784122024184,中部,安徽省,Tier 3+
鹤壁市,三线及以下,0.7426957375561063,1.2922671364094611,中部,河南省,Tier 3+
六盘水市,三线及以下,0.7294795686327529,1.2315199819809788,西部,贵州省,Tier 3+
丹东市,三线及以下,0.8531642743138326,2.010823920354562,东北,辽宁省,Tier 3+
德阳市,三线及以下,0.8544125836689642,0.817020825390607,西部,四川省,Tier 3+
德州市,三线及以下,0.8613578982801773,1.0515047168720943,东部,山东省,Tier 3+
拉萨市,三线及以下,0.8656510668452141,1.1716484825562246,西部,西藏自治区,Tier 3+
辽阳市,三线及以下,0.7176393689287117,1.44796737460668,东北,辽宁省,Tier 3+
泰州市,三线及以下,0.7105825489923672,0.6004045877303142,东部,江苏省,Tier 3+
池州市,三线及以下,0.8671016529839655,1.7165877453706124,中部,安徽省,Tier 3+
许昌市,三线及以下,0.8745840607513463,0.95446245895434,中部,河南省,Tier 3+
淮安市,三线及以下,0.8027123037726364,0.8884277727626286,东部,江苏省,Tier 3+
潍坊市,三线及以下,0.6318033445520159,0.9960735102380612,东部,山东省,Tier 3+
铁岭市,三线及以下,0.6665303858671062,3.327801278561507,东北,辽宁省,Tier 3+
鞍山市,三线及以下,0.5083350851096865,1.5307722010187987,东北,辽宁省,Tier 3+
松原市,三线及以下,0.4759280617708713,1.1098985750020127,东北,吉林省,Tier 3+
咸宁市,三线及以下,0.4698951512077218,1.4653882027225067,中部,湖北省,Tier 3+
吉林市,三线及以下,0.4502932001882459,1.484070234861086,东北,吉林省,Tier 3+
朔州市,三线及以下,0.4493135489996992,1.3111547689172742,中部,山西省,Tier 3+
威海市,三线及以下,0.4400591787678775,0.6307591501053,东部,山东省,Tier 3+
萍乡市,三线及以下,0.4298444558632905,1.5274784266821024,中部,江西省,Tier 3+
宝鸡市,三线及以下,0.4290441610825067,1.5197207370034225,西部,陕西省,Tier 3+
马鞍山市,三线及以下,0.4194873767675859,1.398822722857279,中部,安徽省,Tier 3+
防城港市,三线及以下,0.4125435068511895,0.9595194648192024,西部,广西壮族自治区,Tier 3+
辽源市,三线及以下,0.4085397987281827,1.1957369409596217,东北,吉林省,Tier 3+
鄂州市,三线及以下,0.3705054909923128,0.971989367811236,中部,湖北省,Tier 3+
乌海市,三线及以下,0.3613604211811741,0.6621547805209971,西部,内蒙古自治区,Tier 3+
酒泉市,三线及以下,0.3596847961461827,2.4098885468224966,西部,甘肃省,Tier 3+
三门峡市,三线及以下,0.3317100251215297,1.4757281377906757,中部,河南省,Tier 3+
通化市,三线及以下,0.3090621469339862,2.0809131469745785,东北,吉林省,Tier 3+
包头市,三线及以下,0.3079018663061194,0.6298056087384432,西部,内蒙古自治区,Tier 3+
东营市,三线及以下,0.3006985695250956,0.5146955169654629,东部,山东省,Tier 3+
克拉玛依市,三线及以下,0.2971644500819298,0.6223094479202564,西部,新疆维吾尔自治区,Tier 3+
石嘴山市,三线及以下,0.2823683866671249,1.3071464961957835,西部,宁夏回族自治区,Tier 3+
盘锦市,三线及以下,0.2761381521017133,1.213700289153715,东北,辽宁省,Tier 3+
营口市,三线及以下,0.2083770988627503,1.639990563628906,东北,辽宁省,Tier 3+
鄂尔多斯市,三线及以下,0.1810971769220875,0.401779612023291,西部,内蒙古自治区,Tier 3+
攀枝花市,三线及以下,0.5145208660748208,0.7073811528661549,西部,四川省,Tier 3+
庆阳市,三线及以下,0.6749920288347044,4.091328338758799,西部,甘肃省,Tier 3+
湘潭市,三线及以下,0.5230317979546812,0.9494538760790956,中部,湖南省,Tier 3+
本溪市,三线及以下,0.5388257333636876,1.8157960845374832,东北,辽宁省,Tier 3+
白城市,三线及以下,0.6656044013444524,1.7840781083840125,东北,吉林省,Tier 3+
洛阳市,三线及以下,0.6651635793566466,1.1064742837089574,中部,河南省,Tier 3+
宜昌市,三线及以下,0.6611514014023858,0.6479043662976949,中部,湖北省,Tier 3+
淄博市,三线及以下,0.6507206399322678,0.5515419115600155,东部,山东省,Tier 3+
镇江市,三线及以下,0.6443278271194763,0.4973294830328734,东部,江苏省,Tier 3+
滨州市,三线及以下,0.6387178791074505,0.9037892663310862,东部,山东省,Tier 3+
新乡市,三线及以下,0.9143060608425906,1.5275100445299918,中部,河南省,Tier 3+
大同市,三线及以下,0.6230852601550061,2.1368419102946192,中部,山西省,Tier 3+
牡丹江市,三线及以下,0.6226147221397373,1.1828929129201242,东北,黑龙江省,Tier 3+
大庆市,三线及以下,0.621988608231802,0.4494371759556979,东北,黑龙江省,Tier 3+
北海市,三线及以下,0.6191711809997897,1.0751137360177314,西部,广西壮族自治区,Tier 3+
四平市,三线及以下,0.6182293444115898,1.501384900980469,东北,吉林省,Tier 3+
芜湖市,三线及以下,0.6148295937368529,0.992231872191923,中部,安徽省,Tier 3+
随州市,三线及以下,0.6095913614041268,1.565552079299236,中部,湖北省,Tier 3+
咸阳市,三线及以下,0.5974703077044202,1.541030750546657,西部,陕西省,Tier 3+
银川市,三线及以下,0.5937105694984927,0.8743552586281436,西部,宁夏回族自治区,Tier 3+
呼伦贝尔市,三线及以下,0.5849727473928256,0.8931373604749651,西部,内蒙古自治区,Tier 3+
通辽市,三线及以下,0.5775536972591685,1.009828991309889,西部,内蒙古自治区,Tier 3+
抚顺市,三线及以下,0.5757103781129723,1.8653871171306584,东北,辽宁省,Tier 3+
景德镇市,三线及以下,0.5675875418265356,1.2263338162218544,中部,江西省,Tier 3+
巴彦淖尔市,三线及以下,0.5591109425239398,1.4508302417258094,西部,内蒙古自治区,Tier 3+
荆门市,三线及以下,0.5550937688289699,1.1007372381254958,中部,湖北省,Tier 3+
焦作市,三线及以下,0.5462901032349923,1.0912258041018723,中部,河南省,Tier 3+
广元市,三线及以下,0.5381025784882174,2.3378837198285907,西部,四川省,Tier 3+
连云港市,三线及以下,0.9205443251389992,1.1492369599061942,东部,江苏省,Tier 3+
龙岩市,三线及以下,0.9927329343759528,0.8894513834257871,东部,福建省,Tier 3+
宜春市,三线及以下,0.9297748393843128,1.514397597156808,中部,江西省,Tier 3+
葫芦岛市,三线及以下,1.4724470866136286,1.7939868950379516,东北,辽宁省,Tier 3+
莆田市,三线及以下,1.4627428578992565,0.8984627493078066,东部,福建省,Tier 3+
南充市,三线及以下,1.4583595532637117,1.7211190281824789,西部,四川省,Tier 3+
邵阳市,三线及以下,1.4102258903413012,2.1379303301635666,中部,湖南省,Tier 3+
漳州市,三线及以下,1.3972141219877376,0.837062765149465,东部,福建省,Tier 3+
怀化市,三线及以下,1.3869741384790029,1.254938105576982,中部,湖南省,Tier 3+
三亚市,三线及以下,1.3800514519967908,1.5614921919991942,东部,海南省,Tier 3+
绥化市,三线及以下,1.3787344034274986,1.341047366146381,东北,黑龙江省,Tier 3+
邢台市,三线及以下,1.3569384898107877,2.045341215372849,东部,河北省,Tier 3+
张家口市,三线及以下,1.3393350812927365,1.9976680866048484,东部,河北省,Tier 3+
达州市,三线及以下,1.4724851783956383,1.760996059458434,西部,四川省,Tier 3+
广安市,三线及以下,1.3352674691239783,1.4525249865868748,西部,四川省,Tier 3+
绵阳市,三线及以下,1.325065969070932,1.0840459137986471,西部,四川省,Tier 3+
玉林市,三线及以下,1.30430418462721,1.6194701611416722,西部,广西壮族自治区,Tier 3+
秦皇岛市,三线及以下,1.2817084081076078,0.8633156274043627,东部,河北省,Tier 3+
宁德市,三线及以下,1.2804680712689416,0.7972930464184386,东部,福建省,Tier 3+
衡水市,三线及以下,1.275955313031002,1.5565444635380532,东部,河北省,Tier 3+
开封市,三线及以下,1.2649148155458547,1.0395579869093887,中部,河南省,Tier 3+
遂宁市,三线及以下,1.2573722150554838,1.942284915620956,西部,四川省,Tier 3+
丽江市,三线及以下,1.2494046047798764,2.783778706807089,西部,云南省,Tier 3+
汕尾市,三线及以下,1.23466270412664,1.6425094548948391,东部,广东省,Tier 3+
衢州市,三线及以下,1.2315844643982323,0.9650039602103146,东部,浙江省,Tier 3+
张家界市,三线及以下,1.329391707144737,1.079824736620846,中部,湖南省,Tier 3+
内江市,三线及以下,1.5016857013814835,1.0298320648855204,西部,四川省,Tier 3+
定西市,三线及以下,1.5190882083532604,5.197116290913495,西部,甘肃省,Tier 3+
普洱市,三线及以下,1.5528740133984438,2.2225260903943216,西部,云南省,Tier 3+
阜阳市,三线及以下,4.073842565600295,1.630950800605942,中部,安徽省,Tier 3+
丽水市,三线及以下,2.867834258035095,0.7813434360732107,东部,浙江省,Tier 3+
茂名市,三线及以下,2.709274993657017,0.4807232250772636,东部,广东省,Tier 3+
河源市,三线及以下,2.5836750697732955,1.2864929958347504,东部,广东省,Tier 3+
汕头市,三线及以下,2.502227916886434,0.8924451433589057,东部,广东省,Tier 3+
湛江市,三线及以下,2.395496613017459,0.7638961045014584,东部,广东省,Tier 3+
菏泽市,三线及以下,2.3773475021570976,0.821034978476552,东部,山东省,Tier 3+
亳州市,三线及以下,2.146579564701936,1.6911485145966587,中部,安徽省,Tier 3+
赣州市,三线及以下,2.093954158928357,1.5396048225357413,中部,江西省,Tier 3+
宿州市,三线及以下,1.9280631465317315,1.577145475626855,中部,安徽省,Tier 3+
廊坊市,三线及以下,1.8984738800406895,0.8824912415046688,东部,河北省,Tier 3+
宜宾市,三线及以下,1.849483896186488,1.1555400022691216,西部,四川省,Tier 3+
上饶市,三线及以下,1.8438450704455709,1.763940888457979,中部,江西省,Tier 3+
台州市,三线及以下,1.805636645890167,0.599828254904354,东部,浙江省,Tier 3+
六安市,三线及以下,1.790206107975865,2.0245335164317915,中部,安徽省,Tier 3+
周口市,三线及以下,1.7718006246404303,1.408290347543636,中部,河南省,Tier 3+
保山市,三线及以下,1.745992306592237,1.8222206481027896,西部,云南省,Tier 3+
揭阳市,三线及以下,1.7286974203226595,1.0420888642683566,东部,广东省,Tier 3+
贵港市,三线及以下,1.6998829935333597,1.715370322507373,西部,广西壮族自治区,Tier 3+
齐齐哈尔市,三线及以下,1.6810866067210828,1.5493977414512528,东北,黑龙江省,Tier 3+
驻马店市,三线及以下,1.5781669650856918,1.3606068022319269,中部,河南省,Tier 3+
玉溪市,三线及以下,1.57726640828121,0.6597666748192221,西部,云南省,Tier 3+
自贡市,三线及以下,1.558573924105933,0.7684068691899444,西部,四川省,Tier 3+
江门市,三线及以下,1.2269606480513515,0.7148157455198549,东部,广东省,Tier 3+
襄阳市,三线及以下,0.9256370595154186,0.714656265539677,中部,湖北省,Tier 3+
商丘市,三线及以下,1.2085249680974472,1.632764837860285,中部,河南省,Tier 3+
抚州市,三线及以下,1.1961680606435696,1.8720056961801856,中部,江西省,Tier 3+
