geo,country_code,country,population,gdp_value,gdp_per_capita,ln_pop,ln_gdp_pc
AL011,AL,Albania,106380.0,594.12,5584.884376762549,11.574772868296309,8.627819008829297
AL012,AL,Albania,289797.0,2242.87,7739.45209922808,12.576935956848263,8.954086175864743
AL013,AL,Albania,71498.0,311.95,4363.059106548435,11.177424756262903,8.380928720258167
AL014,AL,Albania,114181.0,644.05,5640.605704977185,11.645540187581142,8.63774673322523
AL015,AL,Albania,189164.0,1094.9,5788.099215495549,12.150369642653922,8.66355922918973
AL021,AL,Albania,252719.0,1390.26,5501.208852519992,12.440033478519737,8.61272313843725
AL022,AL,Albania,925268.0,9530.51,10300.26975968044,13.737838704260739,9.239925364135004
AL031,AL,Albania,111431.0,779.84,6998.4115730811,11.621160844244752,8.853438484156364
AL032,AL,Albania,271672.0,2296.89,8454.643835213052,12.512350735264027,9.042471135692368
AL033,AL,Albania,53314.0,471.28,8839.704392842405,10.883954239828848,9.087008715348858
AL034,AL,Albania,192925.0,1054.99,5468.394453803291,12.170056791325804,8.606740333830729
AL035,AL,Albania,183436.0,1318.81,7189.482980440044,12.119621111799058,8.880374539984938
AT111,AT,Austria,37743.0,1220.08,32325.994224094535,10.53855530701924,10.383626960292961
AT112,AT,Austria,165099.0,6823.32,41328.65735104392,12.014300572954685,10.629311420915766
AT113,AT,Austria,98408.0,3257.62,33103.2029916267,11.496877380548622,10.40738532380215
AT121,AT,Austria,250280.0,10169.92,40634.16972990251,12.4303355701123,10.612364610590287
AT122,AT,Austria,266608.0,10049.81,37695.08041769189,12.493534693778404,10.537284872021743
AT123,AT,Austria,160474.0,8438.23,52583.159888829345,11.985887214660329,10.870151193260737
AT124,AT,Austria,216454.0,8583.93,39657.06339453186,12.285133332717853,10.588024354817275
AT125,AT,Austria,127564.0,4088.43,32050.029788968674,11.75637347842476,10.375053391801385
AT126,AT,Austria,342995.0,12730.2,37114.82674674558,12.745471148782352,10.521771811529048
AT127,AT,Austria,353998.0,20385.45,57586.34229571919,12.777046542382438,10.961040705646727
AT130,AT,Austria,1982097.0,119962.6,60523.0722815281,14.499665933138703,11.010779931344938
AT211,AT,Austria,296535.0,16746.34,56473.40111622574,12.599920534298148,10.941525029580419
AT212,AT,Austria,124016.0,5003.77,40347.77770610244,11.728165868521293,10.605291596744026
AT213,AT,Austria,148433.0,6528.59,43983.41339190072,11.907888956962092,10.69156787346407
AT221,AT,Austria,460887.0,27719.27,60143.310616268194,13.040908172626281,11.004485503518731
AT222,AT,Austria,79831.0,3689.15,46211.99784544851,11.287667179180453,10.740994736979705
AT223,AT,Austria,158478.0,7564.05,47729.33782607049,11.973371061403856,10.77330153657604
AT224,AT,Austria,267680.0,10433.51,38977.5478182905,12.497547516220651,10.570741062367746
AT225,AT,Austria,199351.0,7669.71,38473.39617057351,12.202822369099904,10.55772227286289
AT226,AT,Austria,98971.0,4093.99,41365.55152519425,11.502582156911632,10.630203724671969
AT311,AT,Austria,296756.0,13886.88,46795.616600843794,12.600665531307108,10.75354481514401
AT312,AT,Austria,609580.0,40651.89,66688.35919813642,13.320525474417416,11.107785691906924
AT313,AT,Austria,213934.0,7703.07,36006.759093926164,12.273422835220515,10.491461952423991
AT314,AT,Austria,158099.0,8058.97,50974.1997103081,11.97097669806687,10.839074895668764
AT315,AT,Austria,244456.0,10990.72,44959.910986026116,12.406790612602277,10.71352650471744
AT321,AT,Austria,20437.0,922.01,45114.742868327055,9.925102262508537,10.7169643649405
AT322,AT,Austria,172190.0,9770.64,56743.364887624135,12.05635379728023,10.946294010228423
AT323,AT,Austria,375719.0,25463.73,67773.33592392187,12.836596802548431,11.123924121117033
AT331,AT,Austria,33607.0,1931.88,57484.452643794444,10.422489657586254,10.959269801420223
AT332,AT,Austria,316099.0,17693.93,55975.9126096571,12.663810734642869,10.932676745213586
AT333,AT,Austria,48854.0,2115.4,43300.4462275351,10.796591537434947,10.675918219423279
AT334,AT,Austria,107373.0,6002.52,55903.43941214272,11.584064032803422,10.931381185195733
AT335,AT,Austria,265371.0,14970.16,56412.19274148268,12.488884125882066,10.940440597481517
AT341,AT,Austria,94304.0,6133.76,65042.41601628775,11.454278885537422,11.082794890153664
AT342,AT,Austria,312091.0,16220.27,51972.88611334514,12.651050090931832,10.858477440679206
BE100,BE,Belgium,1253178.0,103568.87,82644.97940436236,14.041193282847033,11.322309356145329
BE211,BE,Belgium,1081771.0,66805.11,61755.31605117904,13.894110070886915,11.030935340682337
BE212,BE,Belgium,357030.0,21189.26,59348.68218357001,12.785575090844596,10.99118519563915
BE213,BE,Belgium,477120.0,28246.38,59201.83601609658,13.075523310558511,10.988707834176594
BE223,BE,Belgium,209283.0,6278.75,30001.242336931333,12.251442682010612,10.308994071017915
BE224,BE,Belgium,430313.0,21560.76,50104.830669768286,12.972268129850695,10.82187270297905
BE225,BE,Belgium,259023.0,9424.59,36385.147264914696,12.464672139827718,10.5019159281803
BE231,BE,Belgium,302438.0,10376.89,34310.800891422376,12.619631576768446,10.443215478378727
BE232,BE,Belgium,206414.0,7517.13,36417.73329328437,12.237639139746596,10.502811113378904
BE233,BE,Belgium,88926.0,3120.98,35096.372264579535,11.39555984218497,10.465853049827052
BE234,BE,Belgium,575067.0,36901.89,64169.722832296065,13.262241834730487,11.069286771462926
BE235,BE,Belgium,127476.0,4889.54,38356.553390442125,11.755683390568013,10.55468067591071
BE236,BE,Belgium,263025.0,12785.69,48610.17013591864,12.480004363676489,10.791588050052274
BE241,BE,Belgium,664977.0,40760.35,61295.87940635541,13.4075077325737,11.02346789954022
BE242,BE,Belgium,523102.0,25694.37,49119.234871975255,13.167531752712128,10.802005985989105
BE251,BE,Belgium,286273.0,15199.91,53095.856053487405,12.564701179967729,10.879854163760752
BE252,BE,Belgium,52481.0,1929.56,36766.829900344885,10.868206478314477,10.512351356282892
BE253,BE,Belgium,108132.0,5297.84,48994.19228350535,11.591107982023038,10.79945704524172
BE254,BE,Belgium,299959.0,16727.47,55765.85466680447,12.611401077631932,10.928917037533813
BE255,BE,Belgium,159568.0,6974.69,43709.82903840369,11.980225442641649,10.685328276580064
BE256,BE,Belgium,158224.0,8472.74,53549.01911214481,11.971767029509772,10.888352758474609
BE257,BE,Belgium,95314.0,5413.98,56801.5191892062,11.46493198336495,10.947318350640408
BE258,BE,Belgium,62053.0,2866.61,46196.154899843685,11.035744137570386,10.740651846330138
BE310,BE,Belgium,413959.0,28280.52,68317.20049570127,12.933522214086855,11.13191685127192
BE323,BE,Belgium,260958.0,8303.23,31818.261942534813,12.472114753815662,10.367795678858007
BE328,BE,Belgium,226990.0,9021.6,39744.4821357769,12.332661242629747,10.590226296252604
BE329,BE,Belgium,142599.0,3352.15,23507.52810328263,11.867791774315023,10.065075993653341
BE32A,BE,Belgium,130236.0,3837.46,29465.431985011826,11.777103468234015,10.290973058118619
BE32B,BE,Belgium,399827.0,12705.47,31777.418733602284,12.898787232535017,10.366511213809005
BE32C,BE,Belgium,107691.0,3277.56,30434.85528038555,11.587021294193082,10.323343785877638
BE32D,BE,Belgium,92725.0,2182.72,23539.714208681584,11.437393402357792,10.066444240072837
BE331,BE,Belgium,115896.0,4490.74,38748.01546213847,11.660448516221487,10.56483481958972
