city,region4,city_tier,pop_10k,gdp_100m,OCR_w1,Q_w1,K_100m,V_100m,ln_Pop,ln_OCR,ln_Q,ln_GDP,ln_K,ln_V
深圳市,东部,一线,1103.7245093062606,18497.7323,0.1259157403675395,7.610126961623662,22599.51285646059,172094.539607651,7.00644565702522,-2.072142322970205,2.0294798552592175,9.825403425174695,10.025683630004197,12.055799253675664
上海市,东部,一线,2430.016664415935,26651.050000000003,0.2681363259402531,6.82768619984688,56699.92600098543,389540.63232522673,7.795653394095415,-1.3162597489229837,1.9209858460329368,10.19058382844261,10.945528184617734,12.872723458043925
北京市,东部,一线,2108.946922803273,24341.86,0.2999787637290331,6.501892241263212,57360.34593826046,375701.2275400651,7.653944013165055,-1.2040435944013839,1.8720932485766153,10.099952781041742,10.957108506257066,12.83654949889786
厦门市,东部,二线,411.4957720588235,3625.1475,0.4824211851418585,4.17462705006293,11691.156240174474,49374.554642947056,6.019798745602188,-0.7289377184018989,1.4290250249864727,8.195650256116146,9.366587958058695,10.807190482273064
阜阳市,中部,三线及以下,802.3305439330545,1334.6547,1.630950800605942,4.073842565600295,4723.933551478175,19101.465202376578,6.6875206724986835,0.4891631580128027,1.4045866733662962,7.196427885692841,8.460397111062138,9.857520323258806
广州市,东部,一线,1643.5056256358089,18823.9278,0.1875333029610909,3.6445777353781104,35541.097719040765,129789.67243954842,7.404586816059054,-1.6737988335510041,1.2932405111168745,9.842884094870731,10.478444988092676,11.773670514905975
温州市,东部,二线,938.3858198198196,4859.8176,0.7719607456083429,3.400204050267544,17728.88563028563,60088.43650876267,6.844161186206145,-0.2588215779077337,1.2238354446058723,8.488756185326041,9.782950544881219,11.003572697830919
丽水市,东部,三线及以下,248.68022181146023,1210.2414,0.7813434360732107,2.867834258035095,4583.464257842509,13144.615819120148,5.516167821356104,-0.24674048690910755,1.0535571309820704,7.098575122824715,8.430210379366082,9.483767510348153
茂名市,东部,三线及以下,594.6758469945355,2541.18675,0.4807232250772636,2.709274993657017,4667.817782333759,12557.368754593806,6.388016462123764,-0.7324635901312745,0.9966810690832101,7.840386475306693,8.448446957154774,9.438062924014242
东莞市,东部,新一线,783.0537358490567,6551.38025,0.2874931107300765,2.628650908830774,10929.378640379848,28929.369084636983,6.663201321795714,-1.2465563817098362,0.9664707521576819,8.787431031620702,9.29920973055003,10.272612589389375
河源市,东部,三线及以下,281.8690469798658,854.39775,1.2864929958347504,2.5836750697732955,2961.5359442553013,7524.780475790605,5.641442590672031,0.25191990836786526,0.9492128310217809,6.750396834775497,7.993463312822261,8.925956916539135
汕头市,东部,三线及以下,530.611304347826,1974.4990000000005,0.8924451433589057,2.502227916886434,5936.245676539481,14717.434330490432,6.27402974631617,-0.11379023124096851,0.9171815017753939,7.588069974269245,8.688832171547965,9.596788078890793
金华市,东部,二线,686.0360081053698,3543.63805,0.4995635562847551,2.467753170218044,10396.629398966425,25585.13327777783,6.530930116297855,-0.6940204491785074,0.9033080889743581,8.172909176148137,9.249236936345694,10.149766730441096
保定市,东部,二线,1148.4170243499796,3238.73345,1.42711270191604,2.4053243721134328,15047.421196504933,36513.36007571293,7.046139772544882,0.35565331359335106,0.8776847685226756,8.082937621867123,9.618961906425653,10.505433502069724
湛江市,东部,三线及以下,672.8233023255814,2482.2285,0.7638961045014584,2.395496613017459,6221.477571264629,14882.180027801302,6.511482742906739,-0.2693234879353783,0.873590563446264,7.816912024379566,8.735762709172562,9.607919804900655
菏泽市,东部,三线及以下,865.023283000487,2480.6,0.821034978476552,2.3773475021570976,6366.446657844937,15079.077502191914,6.762756423333198,-0.19718956571551993,0.8659853712801517,7.81625574538123,8.758796768410093,9.621063466096066
杭州市,东部,新一线,1071.8290490797544,10681.9651,0.3497908674014482,2.2758519874822776,32514.08615268977,74514.5786914432,6.977121859772172,-1.050419824796066,0.8223544822875045,9.276312093715948,10.389428694501238,11.218750072356887
