country,year,CPR
CHN,1960,0.7825268500730784
CHN,1961,0.9347472306643214
CHN,1962,0.9516845806886616
CHN,1963,0.9603531898036098
CHN,1964,1.0009734410860107
CHN,1965,1.0707176748415987
CHN,1966,1.1274301083347895
CHN,1967,1.1865726609072689
CHN,1968,1.2561719202285209
CHN,1969,1.2520689899825073
CHN,1970,1.2904031625900505
CHN,1971,1.3676417042801383
CHN,1972,1.5551797842373791
CHN,1973,1.7945440542306517
CHN,1974,1.8577668805032224
CHN,1975,1.9537671894650095
CHN,1976,1.891240676918361
CHN,1977,2.005545091716473
CHN,1978,1.5937836159955598
CHN,1979,1.7995051475605035
CHN,1980,1.8306363607052445
CHN,1981,1.8208244475407944
CHN,1982,1.7853836555102849
CHN,1983,1.8443586564250567
CHN,1984,1.8246037964579012
CHN,1985,1.9223236366719048
CHN,1986,1.7403155015686549
CHN,1987,1.4628693963688637
CHN,1988,1.5466242454954509
CHN,1989,1.672339673824511
CHN,1990,1.685625172769881
CHN,1991,1.6542989300345523
CHN,1992,1.627393684143184
CHN,1993,1.5098078821694867
CHN,1994,1.7013826428982588
CHN,1995,1.966119505298238
CHN,1996,2.0638077561172232
CHN,1997,2.066798732025849
CHN,1998,2.026440715367108
CHN,1999,1.983989003767332
CHN,2000,2.0015594928699207
CHN,2001,2.024235782069229
CHN,2002,2.015008875332052
CHN,2003,2.038703200944343
CHN,2004,2.1287162790232173
CHN,2005,2.1721127251494607
CHN,2006,2.2522494245640283
CHN,2007,2.4294001096684457
CHN,2008,2.664268151699447
CHN,2009,2.541387779413784
CHN,2010,2.5759882574756494
CHN,2011,2.7043590673492495
CHN,2012,2.6533192826898797
CHN,2013,2.61099871711552
CHN,2014,2.5433091996383035
CHN,2015,2.449921868543229
CHN,2016,2.3089567094707015
CHN,2017,2.3349422710223524
CHN,2018,2.418171416294036
CHN,2019,2.3180178927097836
JPN,1970,2.032921592850921
JPN,1971,1.9681265486811144
JPN,1972,2.119433197174357
JPN,1973,2.265405782527861
JPN,1974,2.217724634903834
JPN,1975,2.1066424513331903
JPN,1976,2.081336956996409
JPN,1977,2.2243522316824715
JPN,1978,2.5985915050757424
JPN,1979,2.293957376329461
JPN,1980,2.120203624514286
JPN,1981,2.0555114250773383
JPN,1982,1.750373496940014
JPN,1983,1.7550819588621072
JPN,1984,1.6964467000159964
JPN,1985,1.638237650534194
JPN,1986,2.1671985382408487
JPN,1987,2.2878574955082125
JPN,1988,2.3316682508671667
JPN,1989,2.033958021945908
JPN,1990,1.8544415416130424
JPN,1991,1.9063526013302856
JPN,1992,1.923315946524053
JPN,1993,2.0474735147709606
JPN,1994,2.0786847274466376
JPN,1995,2.093096508716337
JPN,1996,1.7210368692474978
JPN,1997,1.5096416151729184
JPN,1998,1.3699479336546982
JPN,1999,1.5151464226379856
JPN,2000,1.5364629475854736
JPN,2001,1.326806266089409
JPN,2002,1.2535159869467845
JPN,2003,1.314189609979404
JPN,2004,1.367392965387541
JPN,2005,1.305067391326194
JPN,2006,1.2110433188614227
JPN,2007,1.17435261458916
JPN,2008,1.3005386847775338
JPN,2009,1.39845490157627
JPN,2010,1.4295520840586244
JPN,2011,1.50461984085428
JPN,2012,1.4554178795399646
JPN,2013,1.170410005802199
JPN,2014,1.0869975344079852
JPN,2015,0.9690808639887396
JPN,2016,1.0741554165063305
JPN,2017,1.0350456481636527
JPN,2018,1.0441377851366331
JPN,2019,1.0566278026449365
USA,1970,3.0867779168197633
USA,1971,2.948588185860434
USA,1972,2.798981444693861
USA,1973,2.69401304065526
USA,1974,2.6885234743183815
USA,1975,2.7002486624133195
USA,1976,2.6197073924541834
USA,1977,2.5505310943236545
USA,1978,2.491975143153599
USA,1979,2.4597178373518314
USA,1980,2.456773365582332
USA,1981,2.462651720654592
USA,1982,2.415432652568897
USA,1983,2.3310752371433483
USA,1984,2.2438940923771207
USA,1985,2.1606635564649936
USA,1986,2.0682167655586583
USA,1987,1.9993455593075715
USA,1988,1.9588025487617609
USA,1989,1.9312427675087356
USA,1990,1.907408679043483
USA,1991,1.885988256988615
USA,1992,1.8499930289027295
USA,1993,1.8181643745235243
USA,1994,1.7834453705146562
USA,1995,1.74908085377673
USA,1996,1.7123767005705242
USA,1997,1.6758607774076482
USA,1998,1.6314122265010451
USA,1999,1.5925865371644163
USA,2000,1.566732329847969
USA,2001,1.544124979250674
USA,2002,1.5159235938727815
USA,2003,1.4962908583437395
USA,2004,1.4858992107040336
USA,2005,1.4786308360853404
USA,2006,1.4691600187673262
USA,2007,1.4561991773726133
USA,2008,1.4360185929020786
USA,2009,1.4055465490256027
USA,2010,1.3864281104428895
USA,2011,1.3782960955361243
USA,2012,1.3661986473571306
USA,2013,1.348553680981504
USA,2014,1.3314966962867265
USA,2015,1.3033554998893684
USA,2016,1.2776846536929989
USA,2017,1.2622193934909427
USA,2018,1.254816493297001
USA,2019,1.2364323741558374
GBR,1970,3.0743317252665623
GBR,1971,3.0225202628868137
GBR,1972,2.9737301064164288
GBR,1973,2.7789463807070605
GBR,1974,2.6813188288655323
GBR,1975,2.805052300542005
GBR,1976,2.4010781249179263
GBR,1977,2.4341750091101395
GBR,1978,2.7121663920076915
GBR,1979,3.039927657737429
GBR,1980,3.4643453017424335
GBR,1981,3.035859236761044
GBR,1982,2.624354283088597
GBR,1983,2.2766097508323884
GBR,1984,2.0036180623453235
GBR,1985,1.9696374700001016
GBR,1986,2.2040940201924655
GBR,1987,2.4347709252425425
GBR,1988,2.5966528684185657
GBR,1989,2.3967916238641176
GBR,1990,2.5916048826445386
GBR,1991,2.5757545056320073
GBR,1992,2.4976698317180195
GBR,1993,2.1099564206533064
GBR,1994,2.1001429572485817
GBR,1995,2.320314621927925
GBR,1996,2.309741875647641
GBR,1997,2.33541890700075
GBR,1998,2.309482045222603
GBR,1999,2.213488307635312
GBR,2000,2.0338480193979507
GBR,2001,1.9248283043887024
GBR,2002,1.9939965860268405
GBR,2003,2.1519410130037144
GBR,2004,2.373595191473724
GBR,2005,2.3236593140799826
GBR,2006,2.3209883579179955
GBR,2007,2.443173808329877
GBR,2008,2.224669706236652
GBR,2009,1.881228340810225
GBR,2010,1.855796251515026
GBR,2011,1.9312453429270768
GBR,2012,1.8959678211020332
GBR,2013,1.8799591578776855
GBR,2014,1.962842708088384
GBR,2015,1.800466895528239
GBR,2016,1.6003201664140174
GBR,2017,1.5326897046721386
GBR,2018,1.598287051783306
GBR,2019,1.5486040328917132
