panel,urban_pct_bin,MUQ_median,MUQ_q25,MUQ_q75,n_obs,city,year,tier,fai_gdp,MUQ,msa_name,region,hu_growth,category,beta,ci_lower,ci_upper
a_global_aggregate,6.171853139216797,7.857569222012025,5.178775450926636,12.583966898743306,35.0,,,,,,,,,,,,
a_global_aggregate,12.642759819270811,7.2352434326635615,2.429111930208546,12.830542456780998,71.0,,,,,,,,,,,,
a_global_aggregate,19.113666499324825,11.013793886460913,5.83460233309169,14.148357229200506,158.0,,,,,,,,,,,,
a_global_aggregate,25.58457317937884,10.86875044124842,6.335560529870192,14.486733229315375,130.0,,,,,,,,,,,,
a_global_aggregate,32.05547985943286,10.387518290128268,3.3439430764528546,15.30012277966848,165.0,,,,,,,,,,,,
a_global_aggregate,38.52638653948687,10.281004757706782,6.329103012750369,14.976643007098264,194.0,,,,,,,,,,,,
a_global_aggregate,44.997293219540886,9.51263139597728,5.384248683545481,13.419391073513726,222.0,,,,,,,,,,,,
a_global_aggregate,51.4681998995949,11.490307656861308,6.143440902379367,16.098595298333898,182.0,,,,,,,,,,,,
a_global_aggregate,57.939106579648914,9.682702501469848,5.186982191494712,15.303262688220213,184.0,,,,,,,,,,,,
a_global_aggregate,64.41001325970292,11.26347456293463,5.098307945025175,15.707169106938206,236.0,,,,,,,,,,,,
a_global_aggregate,70.88091993975694,11.532158050681513,7.570063005359657,15.74811427797587,238.0,,,,,,,,,,,,
a_global_aggregate,77.35182661981095,13.11706269082764,8.92030281793284,16.642375288336467,252.0,,,,,,,,,,,,
a_global_aggregate,83.82273329986496,10.894727933886225,6.129626927192949,15.419731023638846,289.0,,,,,,,,,,,,
a_global_aggregate,90.29363997991898,10.322430456007021,5.294769385818732,14.830426295908445,168.0,,,,,,,,,,,,
a_global_aggregate,96.76454665997299,10.538489358867665,5.917953382401718,14.2118055099279,105.0,,,,,,,,,,,,
b_low_income,5.382516926290507,8.26893002727856,5.183280842516236,12.692947345004718,24.0,,,,,,,,,,,,
b_low_income,10.274751180491942,6.058506292051465,3.088805072103295,8.595746011068892,20.0,,,,,,,,,,,,
b_low_income,15.166985434693377,9.278418267133038,3.255834566347308,13.27919243757163,42.0,,,,,,,,,,,,
b_low_income,20.05921968889481,9.187668263984886,5.213535280818393,12.798574446416056,46.0,,,,,,,,,,,,
b_low_income,24.951453943096244,8.877032485817992,4.3706468126466715,11.751337155736868,50.0,,,,,,,,,,,,
b_low_income,29.84368819729768,8.576516366719057,4.7998250190866205,13.842694475273525,34.0,,,,,,,,,,,,
b_low_income,34.73592245149912,7.703223126406656,1.9453848603008264,12.853684922921628,49.0,,,,,,,,,,,,
b_low_income,39.62815670570055,9.998344481187207,3.1323423547991216,12.770472482003314,32.0,,,,,,,,,,,,
b_low_income,44.52039095990199,5.161847611141906,-1.5476071415839134,8.375626289572331,8.0,,,,,,,,,,,,
b_low_income,49.412625214103414,,,,1.0,,,,,,,,,,,,
b_low_income,54.304859468304855,,,,3.0,,,,,,,,,,,,
b_low_income,59.19709372250628,6.3437718425005665,-1.1305755941897009,10.824482838986103,6.0,,,,,,,,,,,,
b_lower_middle_income,11.482724435993342,6.611896371356302,-1.5960786247168561,9.433798344602828,16.0,,,,,,,,,,,,
b_lower_middle_income,18.232314489541086,12.208991348643156,7.0954110993882455,15.98857288165718,45.0,,,,,,,,,,,,
b_lower_middle_income,24.98190454308883,12.290336688227356,8.361898451519671,15.932486929338882,43.0,,,,,,,,,,,,
b_lower_middle_income,31.731494596636573,9.798060570819676,2.268127488134664,15.592665754927607,67.0,,,,,,,,,,,,
b_lower_middle_income,38.48108465018432,10.70379654553558,5.960184777588614,15.136643564620224,70.0,,,,,,,,,,,,
b_lower_middle_income,45.23067470373206,9.409410800889969,5.183717921675761,13.74019386087937,87.0,,,,,,,,,,,,
b_lower_middle_income,51.980264757279805,12.227401830305606,5.574133972941274,16.252816451225286,42.0,,,,,,,,,,,,
b_lower_middle_income,58.729854810827554,12.506698584073343,4.013237125682454,16.501103886946982,22.0,,,,,,,,,,,,
b_lower_middle_income,65.4794448643753,11.59213205275774,5.043970056244454,14.39343883106196,22.0,,,,,,,,,,,,
b_lower_middle_income,72.22903491792303,4.059218216601903,2.9243077944454914,7.565406363046857,9.0,,,,,,,,,,,,
b_lower_middle_income,78.9786249714708,2.8139142779868007,1.519479717659025,3.843281339514691,11.0,,,,,,,,,,,,
b_lower_middle_income,85.72821502501853,3.798950439481891,1.8310863421514432,6.6513287169124045,29.0,,,,,,,,,,,,
b_upper_middle_income,11.41540016169273,11.82735748029977,6.903360101740448,14.95657663017914,16.0,,,,,,,,,,,,
b_upper_middle_income,18.38672899309525,12.318259290173225,5.640315093510244,14.865928335904968,46.0,,,,,,,,,,,,
b_upper_middle_income,25.35805782449777,8.981744579302639,6.030625854738179,13.460436203127365,26.0,,,,,,,,,,,,
