sim,rho_pooled,within_all_negative,paradox,a2_met,shift_strength,mean_gap,mean_abs_beta
0,0.19757297594500417,True,True,False,2.2745684740357555,0.020084768586266847,0.090346490543126
1,-0.467925181559433,True,False,False,2.2637927153478077,0.019976129215442968,0.08599693296064283
2,-0.06249122496900044,False,False,False,2.8289047257255664,0.017200169997352317,0.062033179846650695
3,0.20994097783635446,True,True,False,1.9269094237075448,0.01475271082161018,0.06388247300506304
4,-0.6156889127209473,True,False,False,1.282680986648316,0.011979763385088308,0.10340701385822015
5,-0.5084740299350335,True,False,False,2.5594416860428573,0.01825683030793412,0.08191121783813374
6,-0.14149103483508568,True,False,False,1.4905058679991432,0.016510654044184673,0.08066784630338267
7,0.265397861454873,True,True,False,1.4181882254723228,0.017249842725326026,0.07938540507269386
8,0.27262772812841807,True,True,False,2.8486758776779877,0.02301751731018853,0.059450684455178114
9,0.010890526220946084,True,True,False,2.493051006899133,0.018917615021029042,0.110614021037232
10,-0.16231790597511006,True,False,False,1.8932132360209755,0.013532759044223767,0.06493460303599338
11,-0.28216281447041675,True,False,False,2.742063145104954,0.024979013161266484,0.11087452105427274
12,-0.6034269900984696,True,False,False,2.92977940882545,0.010163247453291372,0.08862747342819674
13,0.24420276759422171,True,True,False,1.357024619743919,0.023900329870898105,0.10020704663424704
14,-0.32122182749536815,True,False,False,1.5857923319677014,0.01541408187426855,0.09846301065442829
15,-0.49989921331008047,False,False,False,1.293944593560644,0.014313873815636978,0.07149256256424337
16,-0.18716681219275275,True,False,False,2.1155735910725273,0.013089401764285294,0.07807778801360196
17,0.11183593451645657,True,True,False,1.387928883570702,0.014947358930087815,0.08507709296780651
18,-0.005422206243183135,True,False,False,1.5145691096008038,0.023640446612012606,0.09383609657115181
19,-0.4314748058819618,True,False,False,1.319001607976861,0.020792398257623076,0.10646958777649532
20,-0.27451998536004046,True,False,False,2.753452873050792,0.014885185919833269,0.06233840771323536
21,0.5347041609322377,False,False,False,0.6399211893196937,0.022447785962026404,0.05230873953676747
22,-0.18509461495191568,True,False,False,2.7467553100024826,0.013714836639876762,0.08631181258099671
23,-0.21191385763561849,True,False,False,1.645111944476177,0.014791434072370735,0.07642068485781431
24,-0.006944315536661609,True,False,False,1.8939885329594228,0.015800499737891605,0.10379643681947234
25,-0.4386230124241501,True,False,False,1.8148188519969637,0.012971440164367283,0.08927357784184756
26,-0.17558409259748595,False,False,False,1.929826931839913,0.02394023733179614,0.08072300860517144
27,-0.3528692953357369,True,False,False,2.9965565428562067,0.016114987907709235,0.0954649424663411
28,0.3539064876065316,True,True,False,0.8768090326631814,0.018267390399028447,0.07765004492239509
29,-0.30862157592444694,True,False,False,2.4693255186597267,0.023411591689531972,0.07958375148074853
30,0.1466693825102376,True,True,False,1.2733155946285315,0.020861871625642226,0.05631278087969427
31,0.2773874986522903,True,True,False,0.9843232351973361,0.01845056120424098,0.055329958443444044
32,-0.14280911196773152,False,False,False,2.6947856062057505,0.02262563893433353,0.07860277828913823
33,-0.08438243781187826,True,False,False,0.963780775188519,0.01363345835390426,0.0704783885573202
34,-0.15732466616571578,True,False,False,1.2675926572335088,0.017604427105097225,0.08175997539971502
35,0.22326856246019353,True,True,False,0.7628232760841511,0.01818308574796847,0.06270755546634185
36,-0.06002116903913038,True,False,False,1.7311350647976806,0.015600795907871548,0.07322576870553008
37,0.041660275761422894,True,True,False,2.360560070766751,0.017275815935721018,0.09286007568225256
38,0.16714168590572576,True,True,False,1.1107856738296085,0.02648572671898621,0.05513600913169889
39,0.40796745252940314,True,True,False,0.9439072502336255,0.01733788666020121,0.06174716581510499
40,-0.33682302918388163,True,False,False,2.8505767181446027,0.016293374928846745,0.07518643148520564
41,0.10272116376913025,True,True,False,0.8116898064360409,0.014651351025002429,0.04785559951768744
42,-0.19660076245289856,True,False,False,0.8053092267305041,0.020390678519392004,0.08638661653687982
43,-0.6654329855562532,True,False,False,2.1869702160584215,0.01741013124623723,0.08511474912432045
44,-0.6129783068369272,True,False,False,1.7896140919878853,0.015304296137678879,0.1013525553511875
45,0.016165336102627915,True,True,False,2.0404546074379946,0.024920817775505994,0.07871486728785038
46,0.29719829300042233,True,True,False,0.5014738846307522,0.021168953146800496,0.0813536120735516
47,-0.0041342012409367685,True,False,False,1.418806062647657,0.023017988885050297,0.0960054820728039
48,-0.09631386383448888,True,False,False,2.4730939361211077,0.019070452106257824,0.11975287788365405
49,0.23492151350798207,True,True,False,2.1455133753684428,0.010090538060601473,0.04034431727075518
50,0.3201408629202648,True,True,False,2.748948276391571,0.017514446926133413,0.06226898578824647
51,-0.08343479822695726,False,False,False,1.3033498849788665,0.014423503485731804,0.06204155341838581
52,-0.0030793798276921376,True,False,False,1.2530386229458004,0.015897736744659198,0.07601745008819304
