group,n,mu_k,beta_k,se_beta,p_beta,mean_u,rho,p_rho
Low,443,7.095006525211913,-8.012538698193762,4.084244623388083,0.049783846098315265,0.2663551862825083,-0.14988803726137753,0.0015574746028747986
Lower-Mid,636,9.978223915178637,-6.040840078535908,5.355306984837521,0.25931567648374343,0.4389088242168958,-0.12228352753853101,0.0020055570989691244
Upper-Mid,919,10.033994248540306,-3.7714862975000365,2.130829708490175,0.07673357403316967,0.5520591966055809,-0.09912962772278332,0.0026259385598809792
High,1331,7.329162972548717,0.8513336551239312,2.1516759993275323,0.6923553434158215,0.7399539873855095,-0.013082364831773151,0.6334659290403879
